table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_personnel_functions_headcount,field_all_personnel_functions_ftes,field_researchers_headcount,field_researchers_ftes,field_r_d_technicians_headcount,field_r_d_technicians_ftes,field_r_d_support_staff_headcount,field_r_d_support_staff_ftes
12726,r415,United States -> New Hampshire,United States,New Hampshire,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r416,United States -> New Hampshire -> Public,United States,New Hampshire,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r417,United States -> New Hampshire -> Public -> U. New Hampshire,United States,New Hampshire,Public,U. New Hampshire,4,"['962', '']","['625.8', '']","['501', '']","['311.5', '']","['420', '']","['274.6', '']","['41', '']","['39.7', '']"
12726,r418,United States -> New Hampshire -> Private,United States,New Hampshire,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r419,United States -> New Hampshire -> Private -> Dartmouth C. and Dartmouth Hitchcock Medical Center,United States,New Hampshire,Private,Dartmouth C. and Dartmouth Hitchcock Medical Center,4,"['1,892', '']","['1,053.0', '']","['1,248', '']","['835.0', '']","['436', '']","['129.0', '']","['208', '']","['89.0', '']"
12726,r420,United States -> New Jersey,United States,New Jersey,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r421,United States -> New Jersey -> Public,United States,New Jersey,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r422,United States -> New Jersey -> Public -> C. New Jersey,United States,New Jersey,Public,C. New Jersey,4,"['84', '']","['10.8', '']","['34', '']","['4.4', '']","['48', '']","['5.6', '']","['2', '']","['0.8', '']"
12726,r423,United States -> New Jersey -> Public -> Kean U.,United States,New Jersey,Public,Kean U.,4,"['338', '']","['70.4', '']","['334', '']","['69.9', '']","['2', '']","['0.3', '']","['2', '']","['0.2', '']"
12726,r424,United States -> New Jersey -> Public -> Montclair State U.,United States,New Jersey,Public,Montclair State U.,4,"['719', '']","['413.7', '']","['441', '']","['135.7', '']","['0', '']","['0.0', '']","['278', '']","['278.0', '']"
12726,r425,United States -> New Jersey -> Public -> New Jersey Institute of Technology,United States,New Jersey,Public,New Jersey Institute of Technology,4,"['1,089', '']","['845.0', '']","['540', '']","['450.0', '']","['224', '']","['120.0', '']","['325', '']","['275.0', '']"
12726,r426,United States -> New Jersey -> Public -> Rowan U.,United States,New Jersey,Public,Rowan U.,4,"['1,052', '']","['243.0', '']","['274', '']","['48.5', '']","['344', '']","['86.0', '']","['434', '']","['108.5', '']"
12726,r427,"United States -> New Jersey -> Public -> Rutgers, State U. New Jersey, Camden",United States,New Jersey,Public,"Rutgers, State U. New Jersey, Camden",4,"['37', '']","['16.9', 'i']","['37', '']","['16.9', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r428,"United States -> New Jersey -> Public -> Rutgers, State U. New Jersey, New Brunswick",United States,New Jersey,Public,"Rutgers, State U. New Jersey, New Brunswick",4,"['1,400', '']","['637.8', 'i']","['1,400', '']","['637.8', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r429,"United States -> New Jersey -> Public -> Rutgers, State U. New Jersey, Newark",United States,New Jersey,Public,"Rutgers, State U. New Jersey, Newark",4,"['115', '']","['52.4', 'i']","['115', '']","['52.4', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r430,United States -> New Jersey -> Public -> Stockton U.,United States,New Jersey,Public,Stockton U.,4,"['138', '']","['20.1', 'i']","['30', '']","['13.7', 'i']","['108', '']","['6.4', '']","['0', '']","['0.0', '']"
12726,r431,United States -> New Jersey -> Public -> William Paterson U.,United States,New Jersey,Public,William Paterson U.,4,"['39', '']","['13.0', '']","['30', '']","['9.0', '']","['4', '']","['3.0', '']","['5', '']","['1.0', '']"
12726,r432,United States -> New Jersey -> Private,United States,New Jersey,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r433,United States -> New Jersey -> Private -> Monmouth U.,United States,New Jersey,Private,Monmouth U.,4,"['60', '']","['16.0', '']","['17', '']","['5.0', '']","['40', '']","['9.0', '']","['3', '']","['2.0', '']"
12726,r434,United States -> New Jersey -> Private -> Princeton U.,United States,New Jersey,Private,Princeton U.,4,"['2,538', '']","['1,543.0', '']","['1,534', '']","['860.0', '']","['526', '']","['361.0', '']","['478', '']","['322.0', '']"
12726,r435,United States -> New Jersey -> Private -> Seton Hall U.,United States,New Jersey,Private,Seton Hall U.,4,"['124', '']","['94.0', '']","['34', '']","['19.0', '']","['12', '']","['10.0', '']","['78', '']","['65.0', '']"
12726,r436,United States -> New Jersey -> Private -> Stevens Institute of Technology,United States,New Jersey,Private,Stevens Institute of Technology,4,"['155', '']","['107.0', '']","['155', '']","['107.0', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r437,United States -> New Mexico,United States,New Mexico,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r438,United States -> New Mexico -> Public,United States,New Mexico,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r439,United States -> New Mexico -> Public -> New Mexico Highlands U.,United States,New Mexico,Public,New Mexico Highlands U.,4,"['275', 'i']","['122.3', 'i']","['160', 'i']","['72.8', 'i']","['68', 'i']","['33.9', 'i']","['47', 'i']","['15.6', 'i']"
12726,r440,United States -> New Mexico -> Public -> New Mexico Institute of Mining and Technology,United States,New Mexico,Public,New Mexico Institute of Mining and Technology,4,"['1,100', '']","['446.9', 'i']","['165', '']","['75.2', 'i']","['364', '']","['182.2', 'i']","['571', '']","['189.5', 'i']"
12726,r441,United States -> New Mexico -> Public -> New Mexico State U.,United States,New Mexico,Public,New Mexico State U.,4,"['2,226', '']","['908.0', '']","['474', '']","['319.0', '']","['55', '']","['45.0', '']","['1,697', '']","['544.0', '']"
12726,r442,United States -> New Mexico -> Public -> U. New Mexico,United States,New Mexico,Public,U. New Mexico,4,"['4,086', '']","['2,474.0', '']","['1,390', '']","['570.9', '']","['1,900', '']","['1,412.5', '']","['796', '']","['490.6', '']"
12726,r443,United States -> New York,United States,New York,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r444,United States -> New York -> Public,United States,New York,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r445,"United States -> New York -> Public -> CUNY, Advanced Science Research Center",United States,New York,Public,"CUNY, Advanced Science Research Center",4,"['315', '']","['60.7', '']","['280', '']","['53.9', '']","['10', '']","['1.3', '']","['25', '']","['5.5', '']"
12726,r446,"United States -> New York -> Public -> CUNY, Baruch C.",United States,New York,Public,"CUNY, Baruch C.",4,"['126', '']","['11.9', '']","['99', '']","['7.9', '']","['6', '']","['1.0', '']","['21', '']","['3.0', '']"
12726,r447,"United States -> New York -> Public -> CUNY, Brooklyn C.",United States,New York,Public,"CUNY, Brooklyn C.",4,"['217', '']","['36.0', '']","['135', '']","['17.1', '']","['15', '']","['4.6', '']","['67', '']","['14.3', '']"
12726,r448,"United States -> New York -> Public -> CUNY, C. Staten Island",United States,New York,Public,"CUNY, C. Staten Island",4,"['133', '']","['22.0', '']","['109', '']","['17.6', '']","['1', '']","['0.1', '']","['23', '']","['4.3', '']"
12726,r449,"United States -> New York -> Public -> CUNY, City C.",United States,New York,Public,"CUNY, City C.",4,"['678', '']","['228.8', '']","['386', '']","['132.8', '']","['16', '']","['7.4', '']","['276', '']","['88.6', '']"
12726,r450,"United States -> New York -> Public -> CUNY, Graduate Center",United States,New York,Public,"CUNY, Graduate Center",4,"['220', '']","['30.5', 'i']","['104', '']","['11.9', '']","['1', '']","['0.5', 'i']","['115', '']","['18.1', '']"
12726,r451,"United States -> New York -> Public -> CUNY, Graduate School of Public Health and Health Policy",United States,New York,Public,"CUNY, Graduate School of Public Health and Health Policy",4,"['455', '']","['63.9', '']","['426', '']","['58.7', '']","['0', '']","['0.0', '']","['29', '']","['5.2', '']"
12726,r452,"United States -> New York -> Public -> CUNY, Hunter C.",United States,New York,Public,"CUNY, Hunter C.",4,"['648', '']","['146.3', '']","['405', '']","['82.7', '']","['21', '']","['7.4', '']","['222', '']","['56.2', '']"
12726,r453,"United States -> New York -> Public -> CUNY, John Jay C. of Criminal Justice",United States,New York,Public,"CUNY, John Jay C. of Criminal Justice",4,"['843', '']","['77.0', '']","['172', '']","['27.6', '']","['7', '']","['1.3', '']","['664', '']","['48.1', '']"
12726,r454,"United States -> New York -> Public -> CUNY, Lehman C.",United States,New York,Public,"CUNY, Lehman C.",4,"['145', '']","['19.2', '']","['86', '']","['10.8', '']","['9', '']","['1.1', '']","['50', '']","['7.3', '']"
12726,r455,"United States -> New York -> Public -> CUNY, New York City C. of Technology",United States,New York,Public,"CUNY, New York City C. of Technology",4,"['69', '']","['5.0', '']","['34', '']","['3.3', '']","['13', '']","['0.4', '']","['22', '']","['1.3', '']"
12726,r456,"United States -> New York -> Public -> CUNY, Queens C.",United States,New York,Public,"CUNY, Queens C.",4,"['321', '']","['72.2', '']","['151', '']","['21.5', '']","['19', '']","['5.2', '']","['151', '']","['45.5', '']"
12726,r457,"United States -> New York -> Public -> CUNY, system office",United States,New York,Public,"CUNY, system office",4,"['27', '']","['6.0', '']","['8', '']","['2.0', '']","['1', '']","['0.0', '']","['18', '']","['4.0', '']"
12726,r458,"United States -> New York -> Public -> CUNY, York C.",United States,New York,Public,"CUNY, York C.",4,"['74', '']","['6.6', '']","['22', '']","['2.9', '']","['8', '']","['2.6', '']","['44', '']","['1.1', '']"
12726,r459,"United States -> New York -> Public -> SUNY, Binghamton U.",United States,New York,Public,"SUNY, Binghamton U.",4,"['1,543', '']","['708.9', '']","['868', '']","['485.4', '']","['611', '']","['159.5', '']","['64', '']","['64.0', '']"
12726,r460,"United States -> New York -> Public -> SUNY, Buffalo State U.",United States,New York,Public,"SUNY, Buffalo State U.",4,"['73', '']","['36.0', '']","['15', '']","['3.0', '']","['9', '']","['8.0', '']","['49', '']","['25.0', '']"
12726,r461,"United States -> New York -> Public -> SUNY, C. Brockport",United States,New York,Public,"SUNY, C. Brockport",4,"['63', '']","['17.8', '']","['10', '']","['2.0', '']","['52', '']","['15.0', '']","['1', '']","['0.8', '']"
12726,r462,"United States -> New York -> Public -> SUNY, C. of Environmental Science and Forestry",United States,New York,Public,"SUNY, C. of Environmental Science and Forestry",4,"['585', '']","['210.7', '']","['70', '']","['22.2', '']","['214', '']","['141.5', '']","['301', '']","['47.0', '']"
12726,r463,"United States -> New York -> Public -> SUNY, C. of Optometry",United States,New York,Public,"SUNY, C. of Optometry",4,"['28', '']","['9.5', '']","['12', '']","['2.6', '']","['9', '']","['5.2', '']","['7', '']","['1.7', '']"
12726,r464,"United States -> New York -> Public -> SUNY, C. Plattsburgh",United States,New York,Public,"SUNY, C. Plattsburgh",4,"['37', '']","['9.6', '']","['10', '']","['5.8', '']","['5', '']","['1.8', '']","['22', '']","['2.0', '']"
12726,r465,"United States -> New York -> Public -> SUNY, Cobleskill",United States,New York,Public,"SUNY, Cobleskill",4,"['19', '']","['10.0', '']","['3', '']","['2.0', '']","['16', '']","['8.0', '']","['0', '']","['0.0', '']"
12726,r466,"United States -> New York -> Public -> SUNY, Downstate Health Sciences U.",United States,New York,Public,"SUNY, Downstate Health Sciences U.",4,"['205', '']","['138.0', '']","['84', '']","['23.0', '']","['96', '']","['91.0', '']","['25', '']","['24.0', '']"
12726,r467,"United States -> New York -> Public -> SUNY, Geneseo",United States,New York,Public,"SUNY, Geneseo",4,"['68', '']","['9.8', '']","['62', '']","['8.5', '']","['5', '']","['0.8', '']","['1', '']","['0.5', '']"
12726,r468,"United States -> New York -> Public -> SUNY, Oswego",United States,New York,Public,"SUNY, Oswego",4,"['69', '']","['6.9', '']","['14', '']","['2.5', '']","['7', '']","['0.9', '']","['48', '']","['3.5', '']"
12726,r469,"United States -> New York -> Public -> SUNY, Polytechnic Institute",United States,New York,Public,"SUNY, Polytechnic Institute",4,"['265', '']","['120.8', 'i']","['125', '']","['56.9', 'i']","['103', '']","['51.6', 'i']","['37', '']","['12.3', 'i']"
12726,r470,"United States -> New York -> Public -> SUNY, Stony Brook U.",United States,New York,Public,"SUNY, Stony Brook U.",4,"['3,138', '']","['1,753.2', '']","['625', '']","['605.1', '']","['1,984', '']","['996.4', '']","['529', '']","['151.7', '']"
12726,r471,"United States -> New York -> Public -> SUNY, U. Albany",United States,New York,Public,"SUNY, U. Albany",4,"['1,486', '']","['931.5', '']","['790', '']","['470.0', '']","['147', '']","['122.6', '']","['549', '']","['338.9', '']"
12726,r472,"United States -> New York -> Public -> SUNY, U. Buffalo",United States,New York,Public,"SUNY, U. Buffalo",4,"['4,271', 'i']","['1,741.1', 'i']","['1,945', 'i']","['886.0', 'i']","['1,234', 'i']","['492.6', 'i']","['1,092', 'i']","['362.5', 'i']"
12726,r473,"United States -> New York -> Public -> SUNY, Upstate Medical U.",United States,New York,Public,"SUNY, Upstate Medical U.",4,"['409', '']","['384.4', '']","['188', '']","['156.0', '']","['218', '']","['219.2', '']","['3', '']","['9.2', '']"
12726,r474,United States -> New York -> Public -> U.S. Military Academy,United States,New York,Public,U.S. Military Academy,4,"['278', '']","['106.4', '']","['229', '']","['84.5', '']","['15', '']","['9.3', '']","['34', '']","['12.6', '']"
12726,r475,United States -> New York -> Private,United States,New York,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r476,United States -> New York -> Private -> Albany C. of Pharmacy and Health Sciences,United States,New York,Private,Albany C. of Pharmacy and Health Sciences,4,"['148', 'i']","['100.2', 'i']","['60', 'i']","['42.5', 'i']","['56', 'i']","['35.7', 'i']","['32', 'i']","['22.0', 'i']"
12726,r477,United States -> New York -> Private -> Albany Medical C.,United States,New York,Private,Albany Medical C.,4,"['356', 'i']","['229.7', 'i']","['149', 'i']","['105.0', 'i']","['113', 'i']","['61.0', 'i']","['94', 'i']","['63.7', 'i']"
12726,r478,United States -> New York -> Private -> Albert Einstein C. of Medicine,United States,New York,Private,Albert Einstein C. of Medicine,4,"['1,625', '']","['1,007.4', 'i']","['493', '']","['347.5', 'i']","['774', '']","['416.2', 'i']","['358', '']","['243.7', 'i']"
12726,r479,United States -> New York -> Private -> Alfred U.,United States,New York,Private,Alfred U.,4,"['41', '']","['13.8', '']","['35', '']","['10.8', '']","['6', '']","['3.0', '']","['0', '']","['0.0', '']"
12726,r480,United States -> New York -> Private -> Barnard C.,United States,New York,Private,Barnard C.,4,"['135', '']","['31.8', '']","['23', '']","['2.0', '']","['27', '']","['20.0', '']","['85', '']","['9.8', '']"
12726,r481,United States -> New York -> Private -> Canisius U.,United States,New York,Private,Canisius U.,4,"['38', '']","['26.0', 'i']","['7', '']","['4.9', 'i']","['0', '']","['0.0', 'i']","['31', '']","['21.1', 'i']"
12726,r482,United States -> New York -> Private -> Clarkson U.,United States,New York,Private,Clarkson U.,4,"['597', '']","['400.0', 'i']","['127', '']","['89.5', 'i']","['229', '']","['146.4', 'i']","['241', '']","['164.1', 'i']"
12726,r483,United States -> New York -> Private -> Cold Spring Harbor Laboratory,United States,New York,Private,Cold Spring Harbor Laboratory,4,"['1,145', 'i']","['764.0', 'i']","['376', 'i']","['265.4', 'i']","['603', 'i']","['385.3', 'i']","['166', 'i']","['113.3', 'i']"
12726,r484,United States -> New York -> Private -> Colgate U.,United States,New York,Private,Colgate U.,4,"['257', '']","['38.9', '']","['25', '']","['4.3', '']","['232', '']","['34.6', '']","['0', '']","['0.0', '']"
12726,r485,United States -> New York -> Private -> Columbia U. in the City of New York,United States,New York,Private,Columbia U. in the City of New York,4,"['11,166', '']","['9,560.0', '']","['6,305', '']","['5,455.5', '']","['684', '']","['647.0', '']","['4,177', '']","['3,457.5', '']"
12726,r486,United States -> New York -> Private -> Cornell U.,United States,New York,Private,Cornell U.,4,"['12,705', '']","['9,588.1', '']","['3,175', '']","['2,196.6', '']","['4,791', '']","['3,826.8', '']","['4,739', '']","['3,564.7', '']"
12726,r487,United States -> New York -> Private -> Fordham U.,United States,New York,Private,Fordham U.,4,"['411', '']","['280.7', 'i']","['38', '']","['26.8', 'i']","['0', '']","['0.0', 'i']","['373', '']","['253.9', 'i']"
12726,r488,United States -> New York -> Private -> Hamilton C.,United States,New York,Private,Hamilton C.,4,"['149', '']","['27.0', '']","['70', '']","['15.7', '']","['60', '']","['10.0', '']","['19', '']","['1.3', '']"
12726,r489,United States -> New York -> Private -> Hobart and William Smith Colleges,United States,New York,Private,Hobart and William Smith Colleges,4,"['93', '']","['17.8', '']","['20', '']","['2.5', '']","['73', '']","['15.3', '']","['0', '']","['0.0', '']"
12726,r490,United States -> New York -> Private -> Hofstra U.,United States,New York,Private,Hofstra U.,4,"['287', '']","['187.5', 'i']","['191', '']","['134.6', 'i']","['87', '']","['46.8', 'i']","['9', '']","['6.1', 'i']"
12726,r491,United States -> New York -> Private -> Icahn School of Medicine at Mount Sinai,United States,New York,Private,Icahn School of Medicine at Mount Sinai,4,"['3,650', '']","['2,703.0', '']","['1,187', '']","['645.0', '']","['1,918', '']","['1,673.0', '']","['545', '']","['385.0', '']"
12726,r492,United States -> New York -> Private -> Ithaca C.,United States,New York,Private,Ithaca C.,4,"['78', '']","['3.7', '']","['44', '']","['0.8', '']","['0', '']","['0.0', '']","['34', '']","['2.9', '']"
12726,r493,United States -> New York -> Private -> Long Island U.,United States,New York,Private,Long Island U.,4,"['373', '']","['105.1', '']","['257', '']","['72.8', '']","['95', '']","['20.4', '']","['21', '']","['11.9', '']"
12726,r494,United States -> New York -> Private -> Manhattan C.,United States,New York,Private,Manhattan C.,4,"['209', 'i']","['143.8', 'i']","['110', 'i']","['77.8', 'i']","['35', 'i']","['22.2', 'i']","['64', 'i']","['43.8', 'i']"
12726,r495,"United States -> New York -> Private -> Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",United States,New York,Private,"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",4,"['49', '']","['47.0', '']","['49', '']","['47.0', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r496,United States -> New York -> Private -> New School,United States,New York,Private,New School,4,"['480', '']","['329.3', 'i']","['191', '']","['134.6', 'i']","['47', '']","['30.0', 'i']","['242', '']","['164.7', 'i']"
12726,r497,United States -> New York -> Private -> New York Institute of Technology,United States,New York,Private,New York Institute of Technology,4,"['171', '']","['105.0', '']","['41', '']","['21.0', '']","['82', '']","['43.0', '']","['48', '']","['41.0', '']"
12726,r498,United States -> New York -> Private -> New York Medical C.,United States,New York,Private,New York Medical C.,4,"['163', '']","['111.3', 'i']","['116', '']","['81.8', 'i']","['17', '']","['9.1', 'i']","['30', '']","['20.4', 'i']"
12726,r499,United States -> New York -> Private -> New York U.,United States,New York,Private,New York U.,4,"['9,114', '']","['7,326.0', '']","['4,898', '']","['4,075.0', '']","['574', '']","['268.0', '']","['3,642', '']","['2,983.0', '']"
12726,r500,United States -> New York -> Private -> Pace U.,United States,New York,Private,Pace U.,4,"['161', '']","['42.3', '']","['92', '']","['11.5', '']","['9', '']","['3.9', '']","['60', '']","['26.9', '']"
12726,r501,United States -> New York -> Private -> Pratt Institute,United States,New York,Private,Pratt Institute,4,"['0', '']","['0.0', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r502,United States -> New York -> Private -> Rensselaer Polytechnic Institute,United States,New York,Private,Rensselaer Polytechnic Institute,4,"['1,605', 'i']","['1,081.0', 'i']","['627', 'i']","['442.2', 'i']","['640', 'i']","['408.9', 'i']","['338', 'i']","['229.9', 'i']"
12726,r503,United States -> New York -> Private -> Rochester Institute of Technology,United States,New York,Private,Rochester Institute of Technology,4,"['1,245', '']","['287.3', '']","['532', '']","['179.6', '']","['629', '']","['72.5', '']","['84', '']","['35.2', '']"
12726,r504,United States -> New York -> Private -> Rockefeller U.,United States,New York,Private,Rockefeller U.,4,"['975', '']","['772.4', '']","['512', '']","['425.5', '']","['348', '']","['298.1', '']","['115', '']","['48.8', '']"
12726,r505,United States -> New York -> Private -> Skidmore C.,United States,New York,Private,Skidmore C.,4,"['76', '']","['15.3', '']","['30', '']","['7.1', '']","['46', '']","['8.2', '']","['0', '']","['0.0', '']"
12726,r506,"United States -> New York -> Private -> St. John's U., New York",United States,New York,Private,"St. John's U., New York",4,"['154', 'i']","['103.5', 'i']","['65', 'i']","['45.7', 'i']","['55', 'i']","['34.9', 'i']","['34', 'i']","['22.9', 'i']"
12726,r507,United States -> New York -> Private -> Syracuse U.,United States,New York,Private,Syracuse U.,4,"['2,851', '']","['971.0', '']","['2,276', '']","['853.9', '']","['65', '']","['13.0', '']","['510', '']","['104.1', '']"
12726,r508,"United States -> New York -> Private -> Teachers C., Columbia U.",United States,New York,Private,"Teachers C., Columbia U.",4,"['72', '']","['50.8', 'i']","['72', '']","['50.8', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r509,"United States -> New York -> Private -> Touro U., New York",United States,New York,Private,"Touro U., New York",4,"['417', '']","['386.4', '']","['69', '']","['58.1', '']","['185', '']","['171.4', '']","['163', '']","['156.9', '']"
12726,r510,United States -> New York -> Private -> U. Rochester,United States,New York,Private,U. Rochester,4,"['4,445', '']","['2,634.1', 'i']","['1,139', '']","['802.9', 'i']","['2,933', '']","['1,577.3', 'i']","['373', '']","['253.9', 'i']"
12726,r511,"United States -> New York -> Private -> Union C., Schenectady",United States,New York,Private,"Union C., Schenectady",4,"['318', '']","['214.8', 'i']","['174', '']","['122.7', 'i']","['143', '']","['91.4', 'i']","['1', '']","['0.7', 'i']"
12726,r512,United States -> New York -> Private -> Vassar C.,United States,New York,Private,Vassar C.,4,"['54', '']","['38.0', 'i']","['52', '']","['36.7', 'i']","['1', '']","['0.6', 'i']","['1', '']","['0.7', 'i']"
12726,r513,United States -> New York -> Private -> Yeshiva U.,United States,New York,Private,Yeshiva U.,4,"['53', '']","['35.3', 'i']","['21', '']","['14.8', 'i']","['32', '']","['20.5', 'i']","['0', '']","['0.0', 'i']"
12726,r514,United States -> North Carolina,United States,North Carolina,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r515,United States -> North Carolina -> Public,United States,North Carolina,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r516,United States -> North Carolina -> Public -> Appalachian State U.,United States,North Carolina,Public,Appalachian State U.,4,"['116', '']","['11.0', '']","['114', '']","['10.0', '']","['2', '']","['1.0', '']","['0', '']","['0.0', '']"
12726,r517,United States -> North Carolina -> Public -> East Carolina U.,United States,North Carolina,Public,East Carolina U.,4,"['1,771', '']","['389.1', '']","['635', '']","['75.0', '']","['951', '']","['227.9', '']","['185', '']","['86.2', '']"
12726,r518,United States -> North Carolina -> Public -> Elizabeth City State U.,United States,North Carolina,Public,Elizabeth City State U.,4,"['13', '']","['4.0', '']","['13', '']","['4.0', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r519,United States -> North Carolina -> Public -> Fayetteville State U.,United States,North Carolina,Public,Fayetteville State U.,4,"['393', 'i']","['159.7', 'i']","['117', 'i']","['53.2', 'i']","['88', 'i']","['44.0', 'i']","['188', 'i']","['62.5', 'i']"
12726,r520,United States -> North Carolina -> Public -> North Carolina A&T State U.,United States,North Carolina,Public,North Carolina A&T State U.,4,"['686', '']","['329.0', 'i']","['320', '']","['145.8', 'i']","['366', '']","['183.2', 'i']","['0', '']","['0.0', 'i']"
12726,r521,United States -> North Carolina -> Public -> North Carolina Central U.,United States,North Carolina,Public,North Carolina Central U.,4,"['477', 'i']","['214.4', 'i']","['153', 'i']","['69.6', 'i']","['221', 'i']","['110.6', 'i']","['103', 'i']","['34.2', 'i']"
12726,r522,United States -> North Carolina -> Public -> North Carolina State U.,United States,North Carolina,Public,North Carolina State U.,4,"['7,422', '']","['5,737.3', '']","['3,500', '']","['3,165.3', '']","['889', '']","['782.2', '']","['3,033', '']","['1,789.8', '']"
12726,r523,"United States -> North Carolina -> Public -> U. North Carolina, Asheville",United States,North Carolina,Public,"U. North Carolina, Asheville",4,"['130', '']","['63.0', '']","['50', '']","['25.0', '']","['53', '']","['25.0', '']","['27', '']","['13.0', '']"
12726,r524,"United States -> North Carolina -> Public -> U. North Carolina, Chapel Hill",United States,North Carolina,Public,"U. North Carolina, Chapel Hill",4,"['12,634', 'i']","['5,031.9', 'i']","['3,992', 'i']","['1,818.6', 'i']","['5,126', 'i']","['2,046.4', 'i']","['3,516', 'i']","['1,166.9', 'i']"
12726,r525,"United States -> North Carolina -> Public -> U. North Carolina, Charlotte",United States,North Carolina,Public,"U. North Carolina, Charlotte",4,"['1,384', '']","['310.7', '']","['306', '']","['40.3', '']","['841', '']","['233.7', '']","['237', '']","['36.7', '']"
12726,r526,"United States -> North Carolina -> Public -> U. North Carolina, Greensboro",United States,North Carolina,Public,"U. North Carolina, Greensboro",4,"['1,106', '']","['516.8', 'i']","['555', '']","['252.9', 'i']","['480', '']","['240.3', 'i']","['71', '']","['23.6', 'i']"
12726,r527,"United States -> North Carolina -> Public -> U. North Carolina, Wilmington",United States,North Carolina,Public,"U. North Carolina, Wilmington",4,"['681', '']","['324.0', '']","['305', '']","['115.0', '']","['159', '']","['111.0', '']","['217', '']","['98.0', '']"
12726,r528,United States -> North Carolina -> Public -> Western Carolina U.,United States,North Carolina,Public,Western Carolina U.,4,"['139', '']","['82.9', '']","['29', '']","['2.9', '']","['108', '']","['78.1', '']","['2', '']","['1.9', '']"
12726,r529,United States -> North Carolina -> Public -> Winston-Salem State U.,United States,North Carolina,Public,Winston-Salem State U.,4,"['51', '']","['16.0', '']","['49', '']","['15.0', '']","['2', '']","['1.0', '']","['0', '']","['0.0', '']"
12726,r530,United States -> North Carolina -> Private,United States,North Carolina,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r531,United States -> North Carolina -> Private -> Davidson C.,United States,North Carolina,Private,Davidson C.,4,"['250', '']","['52.0', '']","['30', '']","['7.0', '']","['7', '']","['7.0', '']","['213', '']","['38.0', '']"
12726,r532,United States -> North Carolina -> Private -> Duke U.,United States,North Carolina,Private,Duke U.,4,"['9,844', '']","['6,470.4', '']","['4,620', '']","['2,894.6', '']","['3,919', '']","['2,825.1', '']","['1,305', '']","['750.7', '']"
12726,r533,United States -> North Carolina -> Private -> Elon U.,United States,North Carolina,Private,Elon U.,4,"['242', '']","['166.3', 'i']","['96', '']","['67.7', 'i']","['18', '']","['11.5', 'i']","['128', '']","['87.1', 'i']"
12726,r534,United States -> North Carolina -> Private -> Johnson C. Smith U.,United States,North Carolina,Private,Johnson C. Smith U.,4,"['66', '']","['26.0', '']","['13', '']","['5.5', '']","['0', '']","['0.0', '']","['53', '']","['20.5', '']"
12726,r535,United States -> North Carolina -> Private -> Wake Forest U.,United States,North Carolina,Private,Wake Forest U.,4,"['2,730', '']","['1,763.1', 'i']","['884', '']","['623.1', 'i']","['816', '']","['438.8', 'i']","['1,030', '']","['701.2', 'i']"
12726,r536,United States -> North Dakota,United States,North Dakota,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
