table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_ftes,field_r_d_function_researchers,field_r_d_function_r_d_technicians,field_r_d_function_r_d_support_staff
12497,r254,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Central Western Massachusetts Health Care,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Central Western Massachusetts Health Care,,,4,NA,NA,NA,NA
12497,r255,"All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Connecticut Health Care System, West Haven Medical Center",All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,"Connecticut Health Care System, West Haven Medical Center",,,4,NA,NA,NA,NA
12497,r256,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Manchester Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Manchester Medical Center,,,4,NA,NA,NA,NA
12497,r257,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Providence Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Providence Medical Center,,,4,NA,NA,NA,NA
12497,r258,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Togus Maine Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Togus Maine Health Care System,,,4,NA,NA,NA,NA
12497,r259,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> White River Junction Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,White River Junction Medical Center,,,4,NA,NA,NA,NA
12497,r260,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,,,,3,,,,
12497,r261,"All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Bronx Health Care, James J. Peters Medical Center",All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,"Bronx Health Care, James J. Peters Medical Center",,,4,NA,NA,NA,NA
12497,r262,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> New Jersey Health Care,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,New Jersey Health Care,,,4,NA,NA,NA,NA
12497,r263,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> New York Harbor Health Care,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,New York Harbor Health Care,,,4,NA,NA,NA,NA
12497,r264,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Northport Medical Center,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,Northport Medical Center,,,4,NA,NA,NA,NA
12497,r265,"All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Western New York Health Care, Buffalo Medical Center",All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,"Western New York Health Care, Buffalo Medical Center",,,4,NA,NA,NA,NA
12497,r266,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care,All agencies,Department of Veterans Affairs,VISN 4: Health Care,,,,3,,,,
12497,r267,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Coatesville Medical Center,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Coatesville Medical Center,,,4,NA,NA,NA,NA
12497,r268,"All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Philadelphia Health Care, Corporal Michael J. Crescenz Medical Center",All agencies,Department of Veterans Affairs,VISN 4: Health Care,"Philadelphia Health Care, Corporal Michael J. Crescenz Medical Center",,,4,NA,NA,NA,NA
12497,r269,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Pittsburgh Medical Center-University Drive,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Pittsburgh Medical Center-University Drive,,,4,NA,NA,NA,NA
12497,r270,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Wilkes-Barre Medical Center,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Wilkes-Barre Medical Center,,,4,NA,NA,NA,NA
12497,r271,All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network,All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,,,,3,,,,
12497,r272,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Huntington Health Care, Hershel (Woody) Williams Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Huntington Health Care, Hershel (Woody) Williams Medical Center",,,4,NA,NA,NA,NA
12497,r273,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Maryland Health Care, Baltimore Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Maryland Health Care, Baltimore Medical Center",,,4,NA,NA,NA,NA
12497,r274,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Washington DC Health Care, Washington Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Washington DC Health Care, Washington Medical Center",,,4,NA,NA,NA,NA
12497,r275,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,,,,3,,,,
12497,r276,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Asheville Health Care, Charles George Medical Center",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Asheville Health Care, Charles George Medical Center",,,4,NA,NA,NA,NA
12497,r277,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Durham Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Durham Medical Center,,,4,NA,NA,NA,NA
12497,r278,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Hampton Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Hampton Medical Center,,,4,NA,NA,NA,NA
12497,r279,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Richmond Health Care, Hunter Holmes McGuire Hospital",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Richmond Health Care, Hunter Holmes McGuire Hospital",,,4,NA,NA,NA,NA
12497,r280,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Salem Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Salem Medical Center,,,4,NA,NA,NA,NA
12497,r281,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Salisbury Health Care, W.G. (Bill) Hefner Salisbury Medical Center",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Salisbury Health Care, W.G. (Bill) Hefner Salisbury Medical Center",,,4,NA,NA,NA,NA
12497,r282,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,,,,3,,,,
12497,r283,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Atlanta Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Atlanta Medical Center,,,4,80.0,55.0,20.0,5.0
12497,r284,"All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Augusta Health Care, Charlie Norwood Medical Center",All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,"Augusta Health Care, Charlie Norwood Medical Center",,,4,NA,NA,NA,NA
12497,r285,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Birmingham Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Birmingham Medical Center,,,4,NA,NA,NA,NA
12497,r286,"All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Charleston Health Care, Ralph H. Johnson Medical Center",All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,"Charleston Health Care, Ralph H. Johnson Medical Center",,,4,NA,NA,NA,NA
12497,r287,"All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Columbia South Carolina Health Care, William Jennings Bryan Dorn Medical Center",All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,"Columbia South Carolina Health Care, William Jennings Bryan Dorn Medical Center",,,4,NA,NA,NA,NA
12497,r288,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Tuscaloosa Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Tuscaloosa Medical Center,,,4,NA,NA,NA,NA
12497,r289,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,,,,3,,,,
12497,r290,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Bay Pines Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Bay Pines Health Care System,,,4,NA,NA,NA,NA
12497,r291,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Caribbean Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Caribbean Health Care System,,,4,NA,NA,NA,NA
12497,r292,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Miami Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Miami Health Care System,,,4,NA,NA,NA,NA
12497,r293,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> North Florida/ South Georgia Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,North Florida/ South Georgia Health Care System,,,4,NA,NA,NA,NA
12497,r294,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Orlando Medical Center,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Orlando Medical Center,,,4,NA,NA,NA,NA
12497,r295,"All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Tampa Health Care, James A. Haley Veterans' Hospital",All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,"Tampa Health Care, James A. Haley Veterans' Hospital",,,4,NA,NA,NA,NA
12497,r296,All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network,All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,,,,3,,,,
12497,r297,All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Lexington Medical Center (Troy Bowling Campus),All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,Lexington Medical Center (Troy Bowling Campus),,,4,NA,NA,NA,NA
12497,r298,"All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Louisville Health Care, Robley Rex Medical Center",All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,"Louisville Health Care, Robley Rex Medical Center",,,4,NA,NA,NA,NA
12497,r299,All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Memphis Medical Center,All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,Memphis Medical Center,,,4,NA,NA,NA,NA
12497,r300,"All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Mountain Home Health Care, James H. Quillen Medical Center",All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,"Mountain Home Health Care, James H. Quillen Medical Center",,,4,NA,NA,NA,NA
12497,r301,"All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Tennessee Valley Health Care, Nashville Medical Center",All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,"Tennessee Valley Health Care, Nashville Medical Center",,,4,NA,NA,NA,NA
12497,r302,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,,,,3,,,,
12497,r303,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Ann Arbor Health Care System,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,Ann Arbor Health Care System,,,4,NA,NA,NA,NA
12497,r304,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Battle Creek Medical Center,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,Battle Creek Medical Center,,,4,NA,NA,NA,NA
12497,r305,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Cincinnati Medical Center,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,Cincinnati Medical Center,,,4,NA,NA,NA,NA
12497,r306,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Dayton Medical Center,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,Dayton Medical Center,,,4,NA,NA,NA,NA
12497,r307,"All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Detroit Health Care, John D. Dingell Medical Center",All agencies,Department of Veterans Affairs,VISN 10: Health Care System,"Detroit Health Care, John D. Dingell Medical Center",,,4,NA,NA,NA,NA
12497,r308,"All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Indiana Health Care, Richard L. Roudebush Medical Center",All agencies,Department of Veterans Affairs,VISN 10: Health Care System,"Indiana Health Care, Richard L. Roudebush Medical Center",,,4,NA,NA,NA,NA
12497,r309,"All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Northeast Ohio Health Care, Louis Stokes Cleveland Medical Center",All agencies,Department of Veterans Affairs,VISN 10: Health Care System,"Northeast Ohio Health Care, Louis Stokes Cleveland Medical Center",,,4,NA,NA,NA,NA
12497,r310,All agencies -> Department of Veterans Affairs -> VISN 12: Great Lakes Health Care System,All agencies,Department of Veterans Affairs,VISN 12: Great Lakes Health Care System,,,,3,,,,
12497,r311,"All agencies -> Department of Veterans Affairs -> VISN 12: Great Lakes Health Care System -> Chicago Health Care, Jesse Brown Medical Center",All agencies,Department of Veterans Affairs,VISN 12: Great Lakes Health Care System,"Chicago Health Care, Jesse Brown Medical Center",,,4,NA,NA,NA,NA
12497,r312,"All agencies -> Department of Veterans Affairs -> VISN 12: Great Lakes Health Care System -> Hines Health Care, Edward Hines Junior Hospital",All agencies,Department of Veterans Affairs,VISN 12: Great Lakes Health Care System,"Hines Health Care, Edward Hines Junior Hospital",,,4,NA,NA,NA,NA
12497,r313,"All agencies -> Department of Veterans Affairs -> VISN 12: Great Lakes Health Care System -> Madison Health Care, William S. Middleton Memorial Veterans' Hospital",All agencies,Department of Veterans Affairs,VISN 12: Great Lakes Health Care System,"Madison Health Care, William S. Middleton Memorial Veterans' Hospital",,,4,NA,NA,NA,NA
12497,r314,"All agencies -> Department of Veterans Affairs -> VISN 12: Great Lakes Health Care System -> Milwaukee Health Care, Clement J. Zablocki Medical Center",All agencies,Department of Veterans Affairs,VISN 12: Great Lakes Health Care System,"Milwaukee Health Care, Clement J. Zablocki Medical Center",,,4,NA,NA,NA,NA
12497,r315,All agencies -> Department of Veterans Affairs -> VISN 15: Heartland Health Care Network,All agencies,Department of Veterans Affairs,VISN 15: Heartland Health Care Network,,,,3,,,,
12497,r316,All agencies -> Department of Veterans Affairs -> VISN 15: Heartland Health Care Network -> Kansas City Medical Center,All agencies,Department of Veterans Affairs,VISN 15: Heartland Health Care Network,Kansas City Medical Center,,,4,NA,NA,NA,NA
12497,r317,"All agencies -> Department of Veterans Affairs -> VISN 15: Heartland Health Care Network -> St. Louis Health Care, John J. Cochran Veterans Hospital",All agencies,Department of Veterans Affairs,VISN 15: Heartland Health Care Network,"St. Louis Health Care, John J. Cochran Veterans Hospital",,,4,NA,NA,NA,NA
12497,r318,All agencies -> Department of Veterans Affairs -> VISN 16: South Central Health Care Network,All agencies,Department of Veterans Affairs,VISN 16: South Central Health Care Network,,,,3,,,,
12497,r319,"All agencies -> Department of Veterans Affairs -> VISN 16: South Central Health Care Network -> Central Arkansas Health Care, Eugene J. Towbin Health Care Center",All agencies,Department of Veterans Affairs,VISN 16: South Central Health Care Network,"Central Arkansas Health Care, Eugene J. Towbin Health Care Center",,,4,NA,NA,NA,NA
12497,r320,"All agencies -> Department of Veterans Affairs -> VISN 16: South Central Health Care Network -> Houston Health Care, Michael E. DeBakey Medical Center",All agencies,Department of Veterans Affairs,VISN 16: South Central Health Care Network,"Houston Health Care, Michael E. DeBakey Medical Center",,,4,NA,NA,NA,NA
12497,r321,"All agencies -> Department of Veterans Affairs -> VISN 16: South Central Health Care Network -> Jackson Health Care, G.V. (Sonny) Montgomery Medical Center",All agencies,Department of Veterans Affairs,VISN 16: South Central Health Care Network,"Jackson Health Care, G.V. (Sonny) Montgomery Medical Center",,,4,NA,NA,NA,NA
12497,r322,"All agencies -> Department of Veterans Affairs -> VISN 16: South Central Health Care Network -> Shreveport Health Care, Overton Brooks Medical Center",All agencies,Department of Veterans Affairs,VISN 16: South Central Health Care Network,"Shreveport Health Care, Overton Brooks Medical Center",,,4,NA,NA,NA,NA
12497,r323,All agencies -> Department of Veterans Affairs -> VISN 16: South Central Health Care Network -> Southeast Louisiana Health Care System,All agencies,Department of Veterans Affairs,VISN 16: South Central Health Care Network,Southeast Louisiana Health Care System,,,4,NA,NA,NA,NA
12497,r324,All agencies -> Department of Veterans Affairs -> VISN 17: Heart of Texas Health Care Network,All agencies,Department of Veterans Affairs,VISN 17: Heart of Texas Health Care Network,,,,3,,,,
12497,r325,All agencies -> Department of Veterans Affairs -> VISN 17: Heart of Texas Health Care Network -> Central Texas Health Care,All agencies,Department of Veterans Affairs,VISN 17: Heart of Texas Health Care Network,Central Texas Health Care,,,4,NA,NA,NA,NA
12497,r326,"All agencies -> Department of Veterans Affairs -> VISN 17: Heart of Texas Health Care Network -> North Texas, Dallas Medical Center",All agencies,Department of Veterans Affairs,VISN 17: Heart of Texas Health Care Network,"North Texas, Dallas Medical Center",,,4,NA,NA,NA,NA
12497,r327,All agencies -> Department of Veterans Affairs -> VISN 17: Heart of Texas Health Care Network -> South Texas Health Care,All agencies,Department of Veterans Affairs,VISN 17: Heart of Texas Health Care Network,South Texas Health Care,,,4,NA,NA,NA,NA
12497,r328,All agencies -> Department of Veterans Affairs -> VISN 19: Rocky Mountain Network,All agencies,Department of Veterans Affairs,VISN 19: Rocky Mountain Network,,,,3,,,,
12497,r329,"All agencies -> Department of Veterans Affairs -> VISN 19: Rocky Mountain Network -> Eastern Colorado, Rocky Mountain Regional Medical Center",All agencies,Department of Veterans Affairs,VISN 19: Rocky Mountain Network,"Eastern Colorado, Rocky Mountain Regional Medical Center",,,4,NA,NA,NA,NA
12497,r330,"All agencies -> Department of Veterans Affairs -> VISN 19: Rocky Mountain Network -> Eastern Oklahoma, Jack C. Montgomery Medical Center",All agencies,Department of Veterans Affairs,VISN 19: Rocky Mountain Network,"Eastern Oklahoma, Jack C. Montgomery Medical Center",,,4,NA,NA,NA,NA
12497,r331,All agencies -> Department of Veterans Affairs -> VISN 19: Rocky Mountain Network -> Oklahoma City Medical Center,All agencies,Department of Veterans Affairs,VISN 19: Rocky Mountain Network,Oklahoma City Medical Center,,,4,NA,NA,NA,NA
12497,r332,All agencies -> Department of Veterans Affairs -> VISN 19: Rocky Mountain Network -> Salt Lake City Health Care,All agencies,Department of Veterans Affairs,VISN 19: Rocky Mountain Network,Salt Lake City Health Care,,,4,NA,NA,NA,NA
12497,r333,All agencies -> Department of Veterans Affairs -> VISN 20: Northwest Network,All agencies,Department of Veterans Affairs,VISN 20: Northwest Network,,,,3,,,,
12497,r334,All agencies -> Department of Veterans Affairs -> VISN 20: Northwest Network -> Boise Medical Center,All agencies,Department of Veterans Affairs,VISN 20: Northwest Network,Boise Medical Center,,,4,NA,NA,NA,NA
12497,r335,All agencies -> Department of Veterans Affairs -> VISN 20: Northwest Network -> Portland Health Care System,All agencies,Department of Veterans Affairs,VISN 20: Northwest Network,Portland Health Care System,,,4,NA,NA,NA,NA
12497,r336,"All agencies -> Department of Veterans Affairs -> VISN 20: Northwest Network -> Puget Sound Health Care, Seattle Medical Center",All agencies,Department of Veterans Affairs,VISN 20: Northwest Network,"Puget Sound Health Care, Seattle Medical Center",,,4,NA,NA,NA,NA
12497,r337,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,,,,3,,,,
12497,r338,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> Central California Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,Central California Health Care System,,,4,NA,NA,NA,NA
12497,r339,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> Northern California Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,Northern California Health Care System,,,4,NA,NA,NA,NA
12497,r340,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> Pacific Islands Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,Pacific Islands Health Care System,,,4,NA,NA,NA,NA
12497,r341,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> Palo Alto Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,Palo Alto Health Care System,,,4,NA,NA,NA,NA
12497,r342,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> San Francisco Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,San Francisco Health Care System,,,4,NA,NA,NA,NA
12497,r343,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> Sierra Nevada Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,Sierra Nevada Health Care System,,,4,NA,NA,NA,NA
12497,r344,All agencies -> Department of Veterans Affairs -> VISN 21: Sierra Pacific Network -> Southern Nevada Health Care System,All agencies,Department of Veterans Affairs,VISN 21: Sierra Pacific Network,Southern Nevada Health Care System,,,4,NA,NA,NA,NA
12497,r345,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,,,,3,,,,
12497,r346,"All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> Greater Los Angeles, West Los Angeles Medical Center",All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,"Greater Los Angeles, West Los Angeles Medical Center",,,4,NA,NA,NA,NA
12497,r347,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> Loma Linda Health Care System,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,Loma Linda Health Care System,,,4,NA,NA,NA,NA
12497,r348,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> Long Beach Health Care System,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,Long Beach Health Care System,,,4,NA,NA,NA,NA
12497,r349,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> New Mexico Health Care System,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,New Mexico Health Care System,,,4,NA,NA,NA,NA
12497,r350,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> Phoenix Health Care System,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,Phoenix Health Care System,,,4,NA,NA,NA,NA
12497,r351,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> San Diego Health Care System,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,San Diego Health Care System,,,4,NA,NA,NA,NA
12497,r352,All agencies -> Department of Veterans Affairs -> VISN 22: Desert Pacific Health Care Network -> Southern Arizona Health Care System,All agencies,Department of Veterans Affairs,VISN 22: Desert Pacific Health Care Network,Southern Arizona Health Care System,,,4,NA,NA,NA,NA
12497,r353,All agencies -> Department of Veterans Affairs -> VISN 23: Midwest Health Care Network,All agencies,Department of Veterans Affairs,VISN 23: Midwest Health Care Network,,,,3,,,,
12497,r354,All agencies -> Department of Veterans Affairs -> VISN 23: Midwest Health Care Network -> Fargo Health Care System,All agencies,Department of Veterans Affairs,VISN 23: Midwest Health Care Network,Fargo Health Care System,,,4,NA,NA,NA,NA
12497,r355,All agencies -> Department of Veterans Affairs -> VISN 23: Midwest Health Care Network -> Minneapolis Health Care System,All agencies,Department of Veterans Affairs,VISN 23: Midwest Health Care Network,Minneapolis Health Care System,,,4,NA,NA,NA,NA
12497,r356,All agencies -> Department of Veterans Affairs -> VISN 23: Midwest Health Care Network -> Nebraska-Western Iowa Health Care System,All agencies,Department of Veterans Affairs,VISN 23: Midwest Health Care Network,Nebraska-Western Iowa Health Care System,,,4,NA,NA,NA,NA
12497,r357,All agencies -> Department of Veterans Affairs -> VISN 23: Midwest Health Care Network -> Sioux Falls Health Care System,All agencies,Department of Veterans Affairs,VISN 23: Midwest Health Care Network,Sioux Falls Health Care System,,,4,NA,NA,NA,NA
12497,r358,All agencies -> Department of Veterans Affairs -> VISN 23: Midwest Health Care Network -> St. Cloud Health Care,All agencies,Department of Veterans Affairs,VISN 23: Midwest Health Care Network,St. Cloud Health Care,,,4,NA,NA,NA,NA
12497,r359,All agencies -> Other agencies,All agencies,Other agencies,,,,,2,,,,
12497,r360,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,,3,,,,
12497,r361,All agencies -> Other agencies -> Environmental Protection Agency -> Center for Computational Toxicology and Exposure,All agencies,Other agencies,Environmental Protection Agency,Center for Computational Toxicology and Exposure,,,4,218.0,113.0,82.0,23.0
12497,r362,All agencies -> Other agencies -> Environmental Protection Agency -> Center for Environmental Measurement and Modeling,All agencies,Other agencies,Environmental Protection Agency,Center for Environmental Measurement and Modeling,,,4,353.0,237.0,88.0,28.0
12497,r363,All agencies -> Other agencies -> Environmental Protection Agency -> Center for Environmental Solutions and Emergency Response,All agencies,Other agencies,Environmental Protection Agency,Center for Environmental Solutions and Emergency Response,,,4,262.0,176.0,62.0,24.0
12497,r364,All agencies -> Other agencies -> Environmental Protection Agency -> Center for Public Health and Environmental Assessment,All agencies,Other agencies,Environmental Protection Agency,Center for Public Health and Environmental Assessment,,,4,373.0,263.0,81.0,29.0
12497,r365,"All agencies -> Other agencies -> Environmental Protection Agency -> Office of Science Advisor, Policy, and Engagement",All agencies,Other agencies,Environmental Protection Agency,"Office of Science Advisor, Policy, and Engagement",,,4,86.0,6.0,5.0,75.0
12497,r366,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,,3,NA,NA,NA,NA
12497,r367,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,,3,,,,
12497,r368,All agencies -> Other agencies -> Library of Congress -> Digital Services Directorate,All agencies,Other agencies,Library of Congress,Digital Services Directorate,,,4,1.4,1.0,0.0,0.4
12497,r369,All agencies -> Other agencies -> Library of Congress -> Preservation Directorate,All agencies,Other agencies,Library of Congress,Preservation Directorate,,,4,15.0,11.0,3.0,1.0
