table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_hierarchy_depth,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71
10328,r182,Department -> Department of Labor -> Occupational Safety and Health Administration,Department,Department of Labor,Occupational Safety and Health Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r183,Department -> Department of Labor -> Office of the Secretary of Labor,Department,Department of Labor,Office of the Secretary of Labor,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,T,T,T,T,T,T,T,T,T,T
10328,r184,Department -> Department of Labor -> Pension Benefit Guaranty Corporation,Department,Department of Labor,Pension Benefit Guaranty Corporation,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T
10328,r185,Department -> Department of Labor -> Wage and Hour Division,Department,Department of Labor,Wage and Hour Division,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r186,Department -> Department of State,Department,Department of State,,,2,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r187,Department -> Department of State -> Agency for International Development,Department,Department of State,Agency for International Development,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r188,Department -> Department of State -> Bureau of Intelligence and Research,Department,Department of State,Bureau of Intelligence and Research,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r189,Department -> Department of State -> Departmental Funds,Department,Department of State,Departmental Funds,,3,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r190,Department -> Department of State -> Peace Corps,Department,Department of State,Peace Corps,,3,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r191,Department -> Department of Transportation,Department,Department of Transportation,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r192,Department -> Department of Transportation -> Coast Guard,Department,Department of Transportation,Coast Guard,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r193,Department -> Department of Transportation -> Federal Aviation Administration,Department,Department of Transportation,Federal Aviation Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r194,Department -> Department of Transportation -> Federal Highway Administration,Department,Department of Transportation,Federal Highway Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r195,Department -> Department of Transportation -> Federal Motor Carrier Safety Administration,Department,Department of Transportation,Federal Motor Carrier Safety Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r196,Department -> Department of Transportation -> Federal Railroad Administration,Department,Department of Transportation,Federal Railroad Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r197,Department -> Department of Transportation -> Federal Transit Administration,Department,Department of Transportation,Federal Transit Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r198,Department -> Department of Transportation -> Maritime Administration,Department,Department of Transportation,Maritime Administration,,3,N,N,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,X
10328,r199,Department -> Department of Transportation -> Materials Transportation Bureau,Department,Department of Transportation,Materials Transportation Bureau,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r200,Department -> Department of Transportation -> National Highway Traffic Safety Administration,Department,Department of Transportation,National Highway Traffic Safety Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r201,Department -> Department of Transportation -> Office of the Secretary of Transportation,Department,Department of Transportation,Office of the Secretary of Transportation,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r202,Department -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,Department,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r203,Department -> Department of Transportation -> Research and Innovative Technology Administration,Department,Department of Transportation,Research and Innovative Technology Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N
10328,r204,Department -> Department of Transportation -> Research and Special Programs Administration,Department,Department of Transportation,Research and Special Programs Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r205,Department -> Department of Transportation -> Transportation Security Administration,Department,Department of Transportation,Transportation Security Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r206,Department -> Department of the Treasury,Department,Department of the Treasury,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r207,"Department -> Department of the Treasury -> Bureau of Alcohol, Tobacco, and Firearms",Department,Department of the Treasury,"Bureau of Alcohol, Tobacco, and Firearms",,3,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r208,Department -> Department of the Treasury -> Bureau of Engraving and Printing,Department,Department of the Treasury,Bureau of Engraving and Printing,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r209,Department -> Department of the Treasury -> Customs Service,Department,Department of the Treasury,Customs Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r210,Department -> Department of the Treasury -> Financial Crimes Enforcement Network,Department,Department of the Treasury,Financial Crimes Enforcement Network,,3,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r211,Department -> Department of the Treasury -> Internal Revenue Service,Department,Department of the Treasury,Internal Revenue Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r212,Department -> Department of the Treasury -> Mint,Department,Department of the Treasury,Mint,,3,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r213,Department -> Department of the Treasury -> Office of Thrift Supervision,Department,Department of the Treasury,Office of Thrift Supervision,,3,N,N,N,N,N,N,N,N,N,N,N,O,X,X,X,X,X,X,X,X,X,X,X,X,Z,Z,Z,Z,Z,T,T,T,N,N,N,N,N,N,N,N,N,N,N
10328,r214,Department -> Department of the Treasury -> Secret Service,Department,Department of the Treasury,Secret Service,,3,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r215,Department -> Department of Veterans Affairs,Department,Department of Veterans Affairs,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r216,Other agencies,Other agencies,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10328,r217,Other agencies -> ACTION,Other agencies,ACTION,,,2,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r218,Other agencies -> Administrative Office of the U.S. Courts,Other agencies,Administrative Office of the U.S. Courts,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X
10328,r219,Other agencies -> Advisory Commission on Intergovernmental Relations,Other agencies,Advisory Commission on Intergovernmental Relations,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r220,Other agencies -> Agency for Global Media (formerly Broadcasting Board of Governors),Other agencies,Agency for Global Media (formerly Broadcasting Board of Governors),,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,O,T,T,T,T,T,T,T,T,T,T,T,X,X,X
10328,r221,Other agencies -> Agency for International Development,Other agencies,Agency for International Development,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r222,Other agencies -> Appalachian Regional Commission,Other agencies,Appalachian Regional Commission,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r223,Other agencies -> Arms Control and Disarmament Agency,Other agencies,Arms Control and Disarmament Agency,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r224,Other agencies -> Atomic Energy Commission,Other agencies,Atomic Energy Commission,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r225,Other agencies -> Civil Aeronautics Board,Other agencies,Civil Aeronautics Board,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r226,Other agencies -> Civil Service Commission,Other agencies,Civil Service Commission,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r227,Other agencies -> Commission on Civil Rights,Other agencies,Commission on Civil Rights,,,2,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r228,Other agencies -> Community Services Administration,Other agencies,Community Services Administration,,,2,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r229,Other agencies -> Consumer Product Safety Commission,Other agencies,Consumer Product Safety Commission,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,T,T,T,T,X,X,X,X,X,X,X,X,X,X
10328,r230,Other agencies -> Energy Research and Development Administration,Other agencies,Energy Research and Development Administration,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r231,Other agencies -> Environmental Protection Agency,Other agencies,Environmental Protection Agency,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r232,Other agencies -> Federal Communications Commission,Other agencies,Federal Communications Commission,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r233,Other agencies -> Federal Emergency Management Agency,Other agencies,Federal Emergency Management Agency,,,2,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r234,Other agencies -> Federal Energy Administration,Other agencies,Federal Energy Administration,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r235,Other agencies -> Federal Trade Commission,Other agencies,Federal Trade Commission,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r236,Other agencies -> Foundation for Educational Assistance,Other agencies,Foundation for Educational Assistance,,,2,N,N,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r237,Other agencies -> General Services Administration,Other agencies,General Services Administration,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r238,Other agencies -> Information Agency,Other agencies,Information Agency,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r239,Other agencies -> International Development Cooperation Agency,Other agencies,International Development Cooperation Agency,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r240,Other agencies -> International Development Cooperation Agency -> Agency for International Development,Other agencies,International Development Cooperation Agency,Agency for International Development,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r241,Other agencies -> International Development Cooperation Agency -> Institute for Scientific and Technological Cooperation,Other agencies,International Development Cooperation Agency,Institute for Scientific and Technological Cooperation,,3,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r242,Other agencies -> International Trade Commission,Other agencies,International Trade Commission,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r243,Other agencies -> Interstate Commerce Commission,Other agencies,Interstate Commerce Commission,,,2,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r244,Other agencies -> Library of Congress,Other agencies,Library of Congress,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r245,Other agencies -> National Aeronautics and Space Administration,Other agencies,National Aeronautics and Space Administration,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r246,Other agencies -> National Archives and Records Administration,Other agencies,National Archives and Records Administration,,,2,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r247,Other agencies -> National Science Foundation,Other agencies,National Science Foundation,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r248,Other agencies -> Nuclear Regulatory Commission,Other agencies,Nuclear Regulatory Commission,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r249,Other agencies -> Office of Economic Opportunity,Other agencies,Office of Economic Opportunity,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r250,Other agencies -> Office of Emergency Preparedness,Other agencies,Office of Emergency Preparedness,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r251,Other agencies -> Office of Personnel Management,Other agencies,Office of Personnel Management,,,2,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r252,Other agencies -> Office of Science and Technology,Other agencies,Office of Science and Technology,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r253,Other agencies -> Office of Telecommunications Policy,Other agencies,Office of Telecommunications Policy,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r254,Other agencies -> Office of Thrift Supervision,Other agencies,Office of Thrift Supervision,,,2,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r255,Other agencies -> Patient-Centered Outcomes Research Trust Fund,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X
10328,r256,Other agencies -> Postal Service,Other agencies,Postal Service,,,2,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,X,X,X,X,X,X,X
10328,r257,Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X
10328,r258,Other agencies -> Small Business Administration,Other agencies,Small Business Administration,,,2,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r259,Other agencies -> Smithsonian Institution,Other agencies,Smithsonian Institution,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r260,Other agencies -> Social Security Administration,Other agencies,Social Security Administration,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r261,Other agencies -> Special Action Office for Drug Abuse Prevention,Other agencies,Special Action Office for Drug Abuse Prevention,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r262,Other agencies -> Tennessee Valley Authority,Other agencies,Tennessee Valley Authority,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,X,X,X,X,X
