table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_businesses,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_organizations,field_any_public_private_partnership_fundinga
12493,r187,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Oncology Center of Excellence,All agencies,Department of Health and Human Services,Food and Drug Administration,Oncology Center of Excellence,,,4,"['9,915', '']","['9,915', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r188,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,,,,3,"['2,755,933', '']","['2,718,302', '']","['0', '']","['17,337', '']","['2,446', '']","['17,848', '']",Yes
12493,r189,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Clinical Center,All agencies,Department of Health and Human Services,National Institutes of Health,Clinical Center,,,4,"['618,605', '']","['617,933', '']","['0', '']","['672', '']","['0', '']","['0', '']",No
12493,r190,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Eunice Kennedy Shriver National Institute of Child Health and Human Development,All agencies,Department of Health and Human Services,National Institutes of Health,Eunice Kennedy Shriver National Institute of Child Health and Human Development,,,4,"['221,061', '']","['219,874', '']","['0', '']","['1,000', '']","['176', '']","['11', '']",No
12493,r191,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Cancer Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Cancer Institute,,,4,"['104,607', '']","['103,604', '']","['0', '']","['0', '']","['1,003', '']","['0', '']",Yes
12493,r192,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Advancing Translational Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Advancing Translational Sciences,,,4,"['150,884', '']","['149,644', '']","['0', '']","['1,186', '']","['47', '']","['8', '']",Yes
12493,r193,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Complementary and Integrative Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Complementary and Integrative Health,,,4,"['15,500', '']","['15,440', '']","['0', '']","['0', '']","['60', '']","['0', '']",Yes
12493,r194,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Eye Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Eye Institute,,,4,"['105,189', '']","['99,753', '']","['0', '']","['0', '']","['0', '']","['5,435', '']",Yes
12493,r195,"All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Heart, Lung, and Blood Institute",All agencies,Department of Health and Human Services,National Institutes of Health,"National Heart, Lung, and Blood Institute",,,4,"['173,071', '']","['173,071', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r196,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Human Genome Research Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Human Genome Research Institute,,,4,"['133,478', '']","['130,460', '']","['0', '']","['2,267', '']","['751', '']","['0', '']",No
12493,r197,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Allergy and Infectious Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Allergy and Infectious Diseases,,,4,"['425,092', '']","['403,809', '']","['0', '']","['11,148', '']","['0', '']","['10,135', '']",No
12493,r198,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,,4,"['57,611', '']","['57,611', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r199,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Biomedical Imaging and Bioengineering,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering,,,4,"['5,900', '']","['5,900', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r200,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Dental and Craniofacial Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Dental and Craniofacial Research,,,4,"['70,666', '']","['70,666', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r201,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Diabetes and Digestive and Kidney Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Diabetes and Digestive and Kidney Diseases,,,4,"['142,684', '']","['142,133', '']","['0', '']","['539', '']","['0', '']","['12', '']",Yes
12493,r202,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Environmental Health Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Environmental Health Sciences,,,4,"['124,012', '']","['123,813', '']","['0', '']","['0', '']","['199', '']","['0', '']",Yes
12493,r203,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Mental Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Mental Health,,,4,"['1,128', '']","['1,128', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r204,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Neurological Disorders and Stroke,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Neurological Disorders and Stroke,,,4,"['217,704', '']","['215,738', '']","['0', '']","['0', '']","['0', '']","['1,966', '']",Yes
12493,r205,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Nursing Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Nursing Research,,,4,"['3,923', '']","['3,923', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r206,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Aging,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Aging,,,4,"['4,299', '']","['4,299', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r207,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Alcohol Abuse and Alcoholism,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Alcohol Abuse and Alcoholism,,,4,"['48,509', '']","['48,384', '']","['0', '']","['124', '']","['1', '']","['0', '']",Yes
12493,r208,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Deafness and Other Communication Disorders,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Deafness and Other Communication Disorders,,,4,"['29,974', '']","['29,701', '']","['0', '']","['273', '']","['0', '']","['0', '']",No
12493,r209,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Drug Abuse,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Drug Abuse,,,4,"['66,351', '']","['65,733', '']","['0', '']","['127', '']","['210', '']","['281', '']",No
12493,r210,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Minority Health and Health Disparities,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Minority Health and Health Disparities,,,4,"['9,919', '']","['9,919', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r211,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Library of Medicine,All agencies,Department of Health and Human Services,National Institutes of Health,National Library of Medicine,,,4,"['25,766', '']","['25,766', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r212,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,,,,2,"['39,016', ' ']","['39,016', ' ']","['0', ' ']","['0', ' ']","['0', ' ']","['0', ' ']",Yes
12493,r213,All agencies -> Department of Homeland Security -> Coast Guard,All agencies,Department of Homeland Security,Coast Guard,,,,3,"['17,500', '']","['17,500', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r214,"All agencies -> Department of Homeland Security -> Coast Guard -> Acquisition Directorate, Research and Development Center",All agencies,Department of Homeland Security,Coast Guard,"Acquisition Directorate, Research and Development Center",,,4,"['17,500', '']","['17,500', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r215,All agencies -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,,,3,"['1,216', 'i']","['1,216', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r216,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,,,,3,"['20,300', '']","['20,300', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r217,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,,,4,"['20,300', '']","['20,300', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r218,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Chemical Security Analysis Center,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Chemical Security Analysis Center,,5,"['4,390', '']","['4,390', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r219,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> National Urban Security Technology Laboratory,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,National Urban Security Technology Laboratory,,5,"['3,480', '']","['3,480', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r220,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Plum Island Animal Disease Center,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Plum Island Animal Disease Center,,5,"['1,550', '']","['1,550', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r221,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Transportation Security Laboratory,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Transportation Security Laboratory,,5,"['10,880', '']","['10,880', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r222,All agencies -> Department of the Interior,All agencies,Department of the Interior,,,,,2,"['1,170,882', ' ']","['1,033,063', ' ']","['105,998', ' ']","['0', ' ']","['0', ' ']","['31,820', ' ']",Yes
12493,r223,All agencies -> Department of the Interior -> Bureau of Land Management,All agencies,Department of the Interior,Bureau of Land Management,,,,3,"['301', '']","['301', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r224,All agencies -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Department of the Interior,Bureau of Ocean Energy Management,,,,3,"['36,016', '']","['36,016', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r225,All agencies -> Department of the Interior -> Bureau of Reclamation,All agencies,Department of the Interior,Bureau of Reclamation,,,,3,"['16,124', '']","['16,124', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r226,All agencies -> Department of the Interior -> Fish and Wildlife Service,All agencies,Department of the Interior,Fish and Wildlife Service,,,,3,"['24,000', '']","['24,000', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r227,All agencies -> Department of the Interior -> Geological Survey,All agencies,Department of the Interior,Geological Survey,,,,3,"['1,079,102', '']","['941,284', '']","['105,998', '']","['0', '']","['0', '']","['31,820', '']",No
12493,r228,All agencies -> Department of the Interior -> Geological Survey -> Core Science Systems Mission Area,All agencies,Department of the Interior,Geological Survey,Core Science Systems Mission Area,,,4,"['126,178', '']","['121,638', '']","['3,703', '']","['0', '']","['0', '']","['837', '']",No
12493,r229,All agencies -> Department of the Interior -> Geological Survey -> Ecosystems Mission Area,All agencies,Department of the Interior,Geological Survey,Ecosystems Mission Area,,,4,"['387,056', '']","['369,430', '']","['41', '']","['0', '']","['0', '']","['17,585', '']",No
12493,r230,All agencies -> Department of the Interior -> Geological Survey -> Energy and Minerals Mission Area,All agencies,Department of the Interior,Geological Survey,Energy and Minerals Mission Area,,,4,"['88,126', '']","['87,623', '']","['0', '']","['0', '']","['0', '']","['503', '']",No
12493,r231,All agencies -> Department of the Interior -> Geological Survey -> Natural Hazards Mission Area,All agencies,Department of the Interior,Geological Survey,Natural Hazards Mission Area,,,4,"['156,535', '']","['152,145', '']","['69', '']","['0', '']","['0', '']","['4,322', '']",No
12493,r232,All agencies -> Department of the Interior -> Geological Survey -> Water Resources Mission Area,All agencies,Department of the Interior,Geological Survey,Water Resources Mission Area,,,4,"['321,206', '']","['210,448', '']","['102,185', '']","['0', '']","['0', '']","['8,573', '']",No
12493,r233,All agencies -> Department of the Interior -> National Park Service,All agencies,Department of the Interior,National Park Service,,,,3,"['15,339', '']","['15,339', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r234,All agencies -> Department of Transportation,All agencies,Department of Transportation,,,,,2,"['129,610', ' ']","['85,372', ' ']","['1,407', ' ']","['27,340', ' ']","['720', ' ']","['14,771', ' ']",Yes
12493,r235,All agencies -> Department of Transportation -> Federal Aviation Administration,All agencies,Department of Transportation,Federal Aviation Administration,,,,3,"['74,873', '']","['31,529', '']","['513', '']","['27,340', '']","['720', '']","['14,771', '']",Yes
12493,r236,All agencies -> Department of Transportation -> Federal Aviation Administration -> Office of Aerospace Medicine,All agencies,Department of Transportation,Federal Aviation Administration,Office of Aerospace Medicine,,,4,"['16,319', '']","['16,319', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r237,All agencies -> Department of Transportation -> Federal Aviation Administration -> Office of NextGen,All agencies,Department of Transportation,Federal Aviation Administration,Office of NextGen,,,4,"['58,554', '']","['15,210', '']","['513', '']","['27,340', '']","['720', '']","['14,771', '']",Yes
12493,r238,All agencies -> Department of Transportation -> Federal Highway Administration,All agencies,Department of Transportation,Federal Highway Administration,,,,3,"['31,961', '']","['31,067', '']","['894', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r239,All agencies -> Department of Transportation -> Federal Highway Administration -> Intelligence Transportation Systems Joint Program Office,All agencies,Department of Transportation,Federal Highway Administration,Intelligence Transportation Systems Joint Program Office,,,4,"['15,026', '']","['14,888', '']","['137', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r240,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Administrations,All agencies,Department of Transportation,Federal Highway Administration,Office of Administrations,,,4,"['11,000', '']","['10,509', '']","['491', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r241,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Operations,All agencies,Department of Transportation,Federal Highway Administration,Office of Operations,,,4,"['1,999', '']","['1,910', '']","['89', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r242,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Planning,All agencies,Department of Transportation,Federal Highway Administration,Office of Planning,,,4,"['653', '']","['623', '']","['29', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r243,"All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Research, Development, and Technology",All agencies,Department of Transportation,Federal Highway Administration,"Office of Research, Development, and Technology",,,4,"['3,283', '']","['3,137', '']","['147', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r244,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Department of Transportation,National Highway Traffic Safety Administration,,,,3,"['3,634', '']","['3,634', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r245,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration -> Office of Vehicle Safety Research,All agencies,Department of Transportation,National Highway Traffic Safety Administration,Office of Vehicle Safety Research,,,4,"['3,634', '']","['3,634', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r246,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration -> Office of Vehicle Safety Research -> Vehicle Research and Test Center,All agencies,Department of Transportation,National Highway Traffic Safety Administration,Office of Vehicle Safety Research,Vehicle Research and Test Center,,5,"['3,634', '']","['3,634', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r247,All agencies -> Department of Transportation -> Office of the Assistant Secretary for Research and Technology,All agencies,Department of Transportation,Office of the Assistant Secretary for Research and Technology,,,,3,"['19,142', 'i']","['19,142', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r248,All agencies -> Department of Transportation -> Office of the Assistant Secretary for Research and Technology -> John A. Volpe National Transportation Systems Center,All agencies,Department of Transportation,Office of the Assistant Secretary for Research and Technology,John A. Volpe National Transportation Systems Center,,,4,"['19,142', 'i']","['19,142', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r249,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,,,,,2,"['1,529,302', '']","['1,529,302', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r250,All agencies -> Department of Veterans Affairs -> Office of Research and Development Central Office,All agencies,Department of Veterans Affairs,Office of Research and Development Central Office,,,,3,"['113,943', '']","['113,943', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r251,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,,,,3,"['248,067', '']","['248,067', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r252,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Bedford Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Bedford Health Care System,,,4,"['12,543', '']","['12,543', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r253,"All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Boston Health Care System, Jamaica Plain Campus",All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,"Boston Health Care System, Jamaica Plain Campus",,,4,"['159,315', '']","['159,315', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r254,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Central Western Massachusetts Health Care,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Central Western Massachusetts Health Care,,,4,"['1,613', '']","['1,613', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r255,"All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Connecticut Health Care System, West Haven Medical Center",All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,"Connecticut Health Care System, West Haven Medical Center",,,4,"['45,873', '']","['45,873', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r256,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Manchester Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Manchester Medical Center,,,4,"['144', '']","['144', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r257,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Providence Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Providence Medical Center,,,4,"['19,570', '']","['19,570', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r258,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Togus Maine Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Togus Maine Health Care System,,,4,"['292', '']","['292', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r259,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> White River Junction Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,White River Junction Medical Center,,,4,"['8,717', '']","['8,717', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r260,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,,,,3,"['53,168', '']","['53,168', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r261,"All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Bronx Health Care, James J. Peters Medical Center",All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,"Bronx Health Care, James J. Peters Medical Center",,,4,"['27,179', '']","['27,179', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r262,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> New Jersey Health Care,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,New Jersey Health Care,,,4,"['6,282', '']","['6,282', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r263,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> New York Harbor Health Care,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,New York Harbor Health Care,,,4,"['7,626', '']","['7,626', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r264,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Northport Medical Center,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,Northport Medical Center,,,4,"['4,139', '']","['4,139', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r265,"All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Western New York Health Care, Buffalo Medical Center",All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,"Western New York Health Care, Buffalo Medical Center",,,4,"['7,942', '']","['7,942', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r266,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care,All agencies,Department of Veterans Affairs,VISN 4: Health Care,,,,3,"['44,924', '']","['44,924', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r267,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Coatesville Medical Center,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Coatesville Medical Center,,,4,"['154', '']","['154', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r268,"All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Philadelphia Health Care, Corporal Michael J. Crescenz Medical Center",All agencies,Department of Veterans Affairs,VISN 4: Health Care,"Philadelphia Health Care, Corporal Michael J. Crescenz Medical Center",,,4,"['20,663', '']","['20,663', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r269,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Pittsburgh Medical Center-University Drive,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Pittsburgh Medical Center-University Drive,,,4,"['24,093', '']","['24,093', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r270,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Wilkes-Barre Medical Center,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Wilkes-Barre Medical Center,,,4,"['14', '']","['14', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r271,All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network,All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,,,,3,"['40,732', '']","['40,732', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r272,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Huntington Health Care, Hershel (Woody) Williams Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Huntington Health Care, Hershel (Woody) Williams Medical Center",,,4,"['1,223', '']","['1,223', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r273,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Maryland Health Care, Baltimore Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Maryland Health Care, Baltimore Medical Center",,,4,"['23,383', '']","['23,383', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r274,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Washington DC Health Care, Washington Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Washington DC Health Care, Washington Medical Center",,,4,"['16,126', '']","['16,126', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r275,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,,,,3,"['55,346', '']","['55,346', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r276,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Asheville Health Care, Charles George Medical Center",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Asheville Health Care, Charles George Medical Center",,,4,"['778', '']","['778', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r277,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Durham Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Durham Medical Center,,,4,"['33,256', '']","['33,256', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r278,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Hampton Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Hampton Medical Center,,,4,"['250', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r279,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Richmond Health Care, Hunter Holmes McGuire Hospital",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Richmond Health Care, Hunter Holmes McGuire Hospital",,,4,"['13,915', '']","['13,915', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r280,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Salem Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Salem Medical Center,,,4,"['3,703', '']","['3,703', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r281,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Salisbury Health Care, W.G. (Bill) Hefner Salisbury Medical Center",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Salisbury Health Care, W.G. (Bill) Hefner Salisbury Medical Center",,,4,"['3,443', '']","['3,443', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r282,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,,,,3,"['88,038', '']","['88,038', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r283,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Atlanta Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Atlanta Medical Center,,,4,"['33,002', '']","['33,002', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
