table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering
1220,r176,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),All sources,"Research assistantship, traineeship, or internship",6,33.7,30.0,,32.0,48.8,34.9,,,,,46.5
1220,r177,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,36.0,37.0,,,,,,24.9,25.0,34.9,34.0
1220,r178,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),All sources,Other<sup>c</sup>,6,5.6,4.0,4.8,3.3,10.7,16.3,,2.6,6.7,,10.6
1220,r179,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number),All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),,,4,625,464,18,127,,,,,23,104,161
1220,r180,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r181,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Personal or family funds,6,8.5,,5.6,4.7,,0.0,,1.1,21.7,20.2,
1220,r182,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Teaching assistantship,6,14.9,,5.6,9.4,6.5,,,,26.1,25.0,
1220,r183,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Research assistantship, traineeship, or internship",6,24.2,,16.7,23.6,,,7.5,38.9,0.0,3.8,
1220,r184,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,25.4,,16.7,43.3,23.9,37.5,,16.7,17.4,26.0,
1220,r185,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Other<sup>c</sup>,6,27.0,25.0,55.6,18.9,28.3,25.0,22.5,22.2,34.8,25.0,34.2
1220,r186,All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number),All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),,,,3,1513,1068,50,235,100,34,114,191,126,218,445
1220,r187,All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r188,All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),All sources,Personal or family funds,,5,3.7,5.0,8.0,3.4,8.0,8.8,2.6,1.0,7.1,6.9,0.9
1220,r189,All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),All sources,Teaching assistantship,,5,4.5,6.0,0.0,3.0,2.0,11.8,16.7,3.7,4.8,8.3,1.1
1220,r190,"All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship",,5,10.8,11.0,6.0,11.5,18.0,14.7,5.3,17.3,4.8,6.4,11.5
1220,r191,"All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,8.4,10.0,8.0,15.7,7.0,14.7,4.4,9.4,3.2,10.6,5.4
1220,r192,All recipients (number)<sup>a</sup> -> Male (number) -> Ethnicity not reported (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Ethnicity not reported (number),All sources,Other<sup>c</sup>,,5,72.6,69.0,78.0,66.4,65.0,50.0,71.1,68.6,80.2,67.9,81.1
