table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
8140,r154_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,609
8140,r154_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Counseling
8140,r154_9,,SED field of study information,Start year,,2,1958
8140,r154_10,,SED field of study information,End year,,2,Present
8140,r155_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,614
8140,r155_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Health and medical psychology
8140,r155_9,,SED field of study information,Start year,,2,2012
8140,r155_10,,SED field of study information,End year,,2,Present
8140,r156_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,620
8140,r156_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Family psychology
8140,r156_9,,SED field of study information,Start year,,2,1995
8140,r156_10,,SED field of study information,End year,,2,Present
8140,r157_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,642
8140,r157_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Community psychology
8140,r157_9,,SED field of study information,Start year,,2,2016
8140,r157_10,,SED field of study information,End year,,2,Present
8140,r158_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5103
8140,r158_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Educational and school psychology
8140,r158_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,618
8140,r158_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Educational psychology
8140,r158_9,,SED field of study information,Start year,,2,1958
8140,r158_10,,SED field of study information,End year,,2,Present
8140,r159_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,636
8140,r159_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,School psychology
8140,r159_9,,SED field of study information,Start year,,2,1960
8140,r159_10,,SED field of study information,End year,,2,Present
8140,r160_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,822
8140,r160_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Educational psychology
8140,r160_9,,SED field of study information,Start year,,2,1958
8140,r160_10,,SED field of study information,End year,,2,Present
8140,r161_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5104
8140,r161_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Industrial and organizational psychology
8140,r161_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,621
8140,r161_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Industrial and organizational
8140,r161_9,,SED field of study information,Start year,,2,1958
8140,r161_10,,SED field of study information,End year,,2,Present
8140,r162_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5105
8140,r162_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Research and experimental psychology
8140,r162_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,603
8140,r162_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cognitive psychology and psycholinguistics
8140,r162_9,,SED field of study information,Start year,,2,1983
8140,r162_10,,SED field of study information,End year,,2,Present
8140,r163_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,606
8140,r163_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Comparative psychology
8140,r163_9,,SED field of study information,Start year,,2,1962
8140,r163_10,,SED field of study information,End year,,2,2009
8140,r164_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,612
8140,r164_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Developmental and child psychology
8140,r164_9,,SED field of study information,Start year,,2,1958
8140,r164_10,,SED field of study information,End year,,2,Present
8140,r165_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,613
8140,r165_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Human development and family studies
8140,r165_9,,SED field of study information,Start year,,2,1994
8140,r165_10,,SED field of study information,End year,,2,Present
8140,r166_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,615
8140,r166_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Experimental psychology
8140,r166_9,,SED field of study information,Start year,,2,1958
8140,r166_10,,SED field of study information,End year,,2,Present
8140,r167_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,624
8140,r167_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Personality psychology
8140,r167_9,,SED field of study information,Start year,,2,1958
8140,r167_10,,SED field of study information,End year,,2,Present
8140,r168_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,627
8140,r168_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Physiological/ psychobiology psychology
8140,r168_9,,SED field of study information,Start year,,2,1961
8140,r168_10,,SED field of study information,End year,,2,Present
8140,r169_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,630
8140,r169_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Psychometrics
8140,r169_9,,SED field of study information,Start year,,2,1958
8140,r169_10,,SED field of study information,End year,,2,2003
8140,r170_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,633
8140,r170_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Psychometrics and quantitative psychology
8140,r170_9,,SED field of study information,Start year,,2,1983
8140,r170_10,,SED field of study information,End year,,2,Present
8140,r171_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,639
8140,r171_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Social psychology
8140,r171_9,,SED field of study information,Start year,,2,1958
8140,r171_10,,SED field of study information,End year,,2,Present
8140,r172_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5106
8140,r172_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Psychology, general"
8140,r172_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,648
8140,r172_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Psychology, general"
8140,r172_9,,SED field of study information,Start year,,2,1958
8140,r172_10,,SED field of study information,End year,,2,Present
8140,r173_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5107
8140,r173_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Psychology, other"
8140,r173_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,649
8140,r173_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Psychology, other"
8140,r173_9,,SED field of study information,Start year,,2,1958
8140,r173_10,,SED field of study information,End year,,2,Present
8140,r174_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,6
8140,r174_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Social sciences
8140,r174_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,61
8140,r174_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Economics
8140,r174_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6101
8140,r174_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Economics
8140,r174_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,0
8140,r174_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural economics
8140,r174_9,,SED field of study information,Start year,,2,1969
8140,r174_10,,SED field of study information,End year,,2,Present
8140,r175_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,3
8140,r175_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Natural resource/ environmental economics (agricultural sciences)
8140,r175_9,,SED field of study information,Start year,,2,2012
8140,r175_10,,SED field of study information,End year,,2,Present
8140,r176_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,665
8140,r176_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Natural resource/ environmental economics (social sciences)
8140,r176_9,,SED field of study information,Start year,,2,2012
8140,r176_10,,SED field of study information,End year,,2,Present
8140,r177_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,667
8140,r177_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Economics
8140,r177_9,,SED field of study information,Start year,,2,1958
8140,r177_10,,SED field of study information,End year,,2,Present
8140,r178_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,668
8140,r178_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Econometrics
8140,r178_9,,SED field of study information,Start year,,2,1958
8140,r178_10,,SED field of study information,End year,,2,Present
8140,r179_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,62
8140,r179_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Political science and government
8140,r179_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6201
8140,r179_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Political science and government
8140,r179_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,678
8140,r179_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Political science and government
8140,r179_9,,SED field of study information,Start year,,2,1974
8140,r179_10,,SED field of study information,End year,,2,Present
8140,r180_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,679
8140,r180_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Political science/ public administration
8140,r180_9,,SED field of study information,Start year,,2,1958
8140,r180_10,,SED field of study information,End year,,2,1976
8140,r181_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6202
8140,r181_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Public policy analysis
8140,r181_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,217
8140,r181_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Health policy analysis
8140,r181_9,,SED field of study information,Start year,,2,2012
8140,r181_10,,SED field of study information,End year,,2,Present
8140,r182_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,682
8140,r182_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Public policy analysis
8140,r182_9,,SED field of study information,Start year,,2,1983
8140,r182_10,,SED field of study information,End year,,2,Present
8140,r183_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,63
8140,r183_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Sociology, demography, and population studies"
8140,r183_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6301
8140,r183_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Sociology, demography, and population studies"
8140,r183_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,662
8140,r183_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Demography/ population studies
8140,r183_9,,SED field of study information,Start year,,2,1983
8140,r183_10,,SED field of study information,End year,,2,Present
8140,r184_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,686
8140,r184_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Sociology
8140,r184_9,,SED field of study information,Start year,,2,1958
8140,r184_10,,SED field of study information,End year,,2,Present
8140,r185_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,64
8140,r185_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Other social sciences
8140,r185_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6401
8140,r185_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Anthropology
8140,r185_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,650
8140,r185_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Anthropology
8140,r185_9,,SED field of study information,Start year,,2,1958
8140,r185_10,,SED field of study information,End year,,2,Present
8140,r186_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,655
8140,r186_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Anthropology, cultural"
8140,r186_9,,SED field of study information,Start year,,2,2014
8140,r186_10,,SED field of study information,End year,,2,Present
8140,r187_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,656
8140,r187_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Anthropology, physical and biological"
8140,r187_9,,SED field of study information,Start year,,2,2014
8140,r187_10,,SED field of study information,End year,,2,Present
8140,r188_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6402
8140,r188_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Area, ethnic, cultural, gender, and group studies"
8140,r188_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,651
8140,r188_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Gender and women's studies
8140,r188_9,,SED field of study information,Start year,,2,2014
8140,r188_10,,SED field of study information,End year,,2,Present
8140,r189_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,652
8140,r189_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Area/ ethnic/ cultural/ gender studies
8140,r189_9,,SED field of study information,Start year,,2,1958
8140,r189_10,,SED field of study information,End year,,2,Present
8140,r190_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,770
8140,r190_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,American/ U.S. studies
8140,r190_9,,SED field of study information,Start year,,2,1975
8140,r190_10,,SED field of study information,End year,,2,Present
8140,r191_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6403
8140,r191_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Geography and cartography
8140,r191_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,670
8140,r191_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geography
8140,r191_9,,SED field of study information,Start year,,2,1958
8140,r191_10,,SED field of study information,End year,,2,Present
8140,r192_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6404
8140,r192_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,International relations and national security studies
8140,r192_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,674
8140,r192_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,International relations/ affairs
8140,r192_9,,SED field of study information,Start year,,2,1958
8140,r192_10,,SED field of study information,End year,,2,Present
8140,r193_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6405
8140,r193_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Linguistics
8140,r193_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,675
8140,r193_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied linguistics
8140,r193_9,,SED field of study information,Start year,,2,2016
8140,r193_10,,SED field of study information,End year,,2,Present
8140,r194_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,676
8140,r194_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Linguistics
8140,r194_9,,SED field of study information,Start year,,2,1958
8140,r194_10,,SED field of study information,End year,,2,Present
8140,r195_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6406
8140,r195_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Urban studies, affairs"
8140,r195_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,694
8140,r195_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Urban affairs/ studies
8140,r195_9,,SED field of study information,Start year,,2,1959
8140,r195_10,,SED field of study information,End year,,2,Present
8140,r196_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,6407
8140,r196_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Social sciences, other"
8140,r196_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,654
8140,r196_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Archaeology
8140,r196_9,,SED field of study information,Start year,,2,2018
8140,r196_10,,SED field of study information,End year,,2,Present
8140,r197_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,658
8140,r197_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Criminology
8140,r197_9,,SED field of study information,Start year,,2,1980
8140,r197_10,,SED field of study information,End year,,2,Present
8140,r198_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,684
8140,r198_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Gerontology
8140,r198_9,,SED field of study information,Start year,,2,2010
8140,r198_10,,SED field of study information,End year,,2,Present
8140,r199_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,690
8140,r199_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Statistics
8140,r199_9,,SED field of study information,Start year,,2,1967
8140,r199_10,,SED field of study information,End year,,2,Present
8140,r200_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,698
8140,r200_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Social sciences, general"
8140,r200_9,,SED field of study information,Start year,,2,1958
8140,r200_10,,SED field of study information,End year,,2,Present
8140,r201_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,699
8140,r201_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Social sciences, other"
8140,r201_9,,SED field of study information,Start year,,2,1958
8140,r201_10,,SED field of study information,End year,,2,Present
8140,r202_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,710
8140,r202_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"History, science, and technology, and society"
8140,r202_9,,SED field of study information,Start year,,2,1971
8140,r202_10,,SED field of study information,End year,,2,Present
8140,r203_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,773
8140,r203_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Archaeology
8140,r203_9,,SED field of study information,Start year,,2,1958
8140,r203_10,,SED field of study information,End year,,2,Present
8140,r204_1,Engineering,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,7
8140,r204_2,Engineering,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Engineering
8140,r204_3,Engineering,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,71
8140,r204_4,Engineering,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Aerospace, aeronautical, and astronautical engineering"
8140,r204_5,Engineering,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7101
8140,r204_6,Engineering,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Aerospace, aeronautical, and astronautical engineering"
8140,r204_7,Engineering,SED field of study information,Fine field (PHDFIELD)a,Code,3,300
8140,r204_8,Engineering,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Aerospace, aeronautical, and astronautical engineering"
8140,r204_9,Engineering,SED field of study information,Start year,,2,1958
8140,r204_10,Engineering,SED field of study information,End year,,2,Present
8140,r205_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,72
8140,r205_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Chemical engineering
8140,r205_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7201
8140,r205_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Chemical engineering
8140,r205_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,312
8140,r205_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Chemical engineering
8140,r205_9,,SED field of study information,Start year,,2,1958
8140,r205_10,,SED field of study information,End year,,2,Present
8140,r206_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,369
8140,r206_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Polymer and plastics engineering
8140,r206_9,,SED field of study information,Start year,,2,1983
8140,r206_10,,SED field of study information,End year,,2,Present
8140,r207_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,73
8140,r207_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Civil engineering
8140,r207_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7301
8140,r207_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Civil engineering
8140,r207_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,315
8140,r207_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Civil engineering
8140,r207_9,,SED field of study information,Start year,,2,1958
8140,r207_10,,SED field of study information,End year,,2,Present
8140,r208_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,316
8140,r208_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Structural engineering
8140,r208_9,,SED field of study information,Start year,,2,2010
8140,r208_10,,SED field of study information,End year,,2,Present
8140,r209_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,336
8140,r209_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental health engineering
8140,r209_9,,SED field of study information,Start year,,2,1958
8140,r209_10,,SED field of study information,End year,,2,Present
8140,r210_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,337
8140,r210_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geotechnical and geoenvironmental engineering
8140,r210_9,,SED field of study information,Start year,,2,2012
8140,r210_10,,SED field of study information,End year,,2,Present
8140,r211_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,373
8140,r211_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Transportation and highway engineering
8140,r211_9,,SED field of study information,Start year,,2,2012
8140,r211_10,,SED field of study information,End year,,2,Present
8140,r212_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,376
8140,r212_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Engineering management and administration
8140,r212_9,,SED field of study information,Start year,,2,2007
8140,r212_10,,SED field of study information,End year,,2,Present
8140,r213_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,74
8140,r213_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Electrical and computer engineering
8140,r213_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7401
8140,r213_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Computer engineering
8140,r213_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,321
8140,r213_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computer engineering
8140,r213_9,,SED field of study information,Start year,,2,1975
8140,r213_10,,SED field of study information,End year,,2,Present
8140,r214_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7402
8140,r214_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Electrical, electronics, and communications engineering"
8140,r214_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,318
8140,r214_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Communications engineering
8140,r214_9,,SED field of study information,Start year,,2,1983
8140,r214_10,,SED field of study information,End year,,2,Present
8140,r215_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,322
8140,r215_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Electrical engineering
8140,r215_9,,SED field of study information,Start year,,2,1958
8140,r215_10,,SED field of study information,End year,,2,1985
8140,r216_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,323
8140,r216_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Electronics engineering
8140,r216_9,,SED field of study information,Start year,,2,1958
8140,r216_10,,SED field of study information,End year,,2,1983
8140,r217_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,324
8140,r217_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Electrical, electronics, and communications engineering"
8140,r217_9,,SED field of study information,Start year,,2,1983
8140,r217_10,,SED field of study information,End year,,2,Present
8140,r218_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,75
8140,r218_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Mechanical engineering
8140,r218_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7501
8140,r218_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Mechanical engineering and robotics
8140,r218_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,345
8140,r218_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mechanical engineering
8140,r218_9,,SED field of study information,Start year,,2,1958
8140,r218_10,,SED field of study information,End year,,2,Present
8140,r219_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,415
8140,r219_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Robotics
8140,r219_9,,SED field of study information,Start year,,2,2010
8140,r219_10,,SED field of study information,End year,,2,Present
8140,r220_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,76
8140,r220_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Metallurgical and materials engineering
8140,r220_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7601
8140,r220_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Metallurgical and materials engineering
8140,r220_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,309
8140,r220_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Ceramic sciences engineering
8140,r220_9,,SED field of study information,Start year,,2,1958
8140,r220_10,,SED field of study information,End year,,2,2013
8140,r221_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,342
8140,r221_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Materials science engineering
8140,r221_9,,SED field of study information,Start year,,2,1969
8140,r221_10,,SED field of study information,End year,,2,Present
8140,r222_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,348
8140,r222_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Metallurgical engineering
8140,r222_9,,SED field of study information,Start year,,2,1958
8140,r222_10,,SED field of study information,End year,,2,Present
8140,r223_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,351
8140,r223_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mining and mineral engineering
8140,r223_9,,SED field of study information,Start year,,2,1969
8140,r223_10,,SED field of study information,End year,,2,2013
8140,r224_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,77
8140,r224_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Other engineering
8140,r224_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7701
8140,r224_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Agricultural engineering
8140,r224_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,303
8140,r224_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural engineering
8140,r224_9,,SED field of study information,Start year,,2,1958
8140,r224_10,,SED field of study information,End year,,2,Present
8140,r225_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7702
8140,r225_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Bioengineering and biomedical engineering
