table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_total_r_d_expenditures_all_r_d,field_total_r_d_expenditures_basic_research,field_total_r_d_expenditures_applied_research,field_total_r_d_expenditures_experimental_development,field_federally_funded_all_federal_r_d,field_federally_funded_basic_research,field_federally_funded_applied_research,field_federally_funded_experimental_development,field_nonfederally_funded_all_nonfederal_r_d,field_nonfederally_funded_basic_research,field_nonfederally_funded_applied_research,field_nonfederally_funded_experimental_development
12491,r139,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research -> Naval Research Laboratory,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,Naval Research Laboratory,,5,"['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r140,All agencies -> Department of Defense -> Missile Defense Agency,All agencies,Department of Defense,Missile Defense Agency,,,,3,"['420,524', '']","['0', '']","['0', '']","['420,524', '']","['420,524', '']","['0', '']","['0', '']","['420,524', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r141,All agencies -> Department of Defense -> Space Force,All agencies,Department of Defense,Space Force,,,,3,"['2,413,651', '']","['83,186', '']","['0', '']","['2,330,466', '']","['2,403,794', '']","['83,186', '']","['0', '']","['2,320,608', '']","['9,857', '']","['0', '']","['0', '']","['9,857', '']"
12491,r142,All agencies -> Department of Defense -> Space Force -> Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,All agencies,Department of Defense,Space Force,Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,,,4,"['27,003', '']","['0', '']","['0', '']","['27,003', '']","['27,003', '']","['0', '']","['0', '']","['27,003', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r143,All agencies -> Department of Defense -> Space Force -> Commercial Satellite Communications (SATCOM),All agencies,Department of Defense,Space Force,Commercial Satellite Communications (SATCOM),,,4,"['20,205', '']","['0', '']","['0', '']","['20,205', '']","['20,205', '']","['0', '']","['0', '']","['20,205', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r144,All agencies -> Department of Defense -> Space Force -> Counter Communications System,All agencies,Department of Defense,Space Force,Counter Communications System,,,4,"['5,895', '']","['0', '']","['0', '']","['5,895', '']","['5,895', '']","['0', '']","['0', '']","['5,895', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r145,All agencies -> Department of Defense -> Space Force -> Electro-Optical/ Infrared Weather Systems,All agencies,Department of Defense,Space Force,Electro-Optical/ Infrared Weather Systems,,,4,"['1,862', '']","['0', '']","['0', '']","['1,862', '']","['1,862', '']","['0', '']","['0', '']","['1,862', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r146,All agencies -> Department of Defense -> Space Force -> Evolved Strategic SATCOM,All agencies,Department of Defense,Space Force,Evolved Strategic SATCOM,,,4,"['108,519', '']","['0', '']","['0', '']","['108,519', '']","['108,519', '']","['0', '']","['0', '']","['108,519', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r147,All agencies -> Department of Defense -> Space Force -> Global Positioning Systems III Follow-on,All agencies,Department of Defense,Space Force,Global Positioning Systems III Follow-on,,,4,"['138,971', '']","['0', '']","['0', '']","['138,971', '']","['138,971', '']","['0', '']","['0', '']","['138,971', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r148,All agencies -> Department of Defense -> Space Force -> Ground Based Optical Sensor System,All agencies,Department of Defense,Space Force,Ground Based Optical Sensor System,,,4,"['45,388', '']","['0', '']","['0', '']","['45,388', '']","['45,388', '']","['0', '']","['0', '']","['45,388', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r149,All agencies -> Department of Defense -> Space Force -> Joint Execution and Tasking System for Space,All agencies,Department of Defense,Space Force,Joint Execution and Tasking System for Space,,,4,"['2,087', '']","['0', '']","['0', '']","['2,087', '']","['2,087', '']","['0', '']","['0', '']","['2,087', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r150,All agencies -> Department of Defense -> Space Force -> National Security Space Launch,All agencies,Department of Defense,Space Force,National Security Space Launch,,,4,"['91,491', '']","['0', '']","['0', '']","['91,491', '']","['91,491', '']","['0', '']","['0', '']","['91,491', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r151,All agencies -> Department of Defense -> Space Force -> NAVSTAR Global Positioning System (User Equipment),All agencies,Department of Defense,Space Force,NAVSTAR Global Positioning System (User Equipment),,,4,"['290,005', '']","['0', '']","['0', '']","['290,005', '']","['290,005', '']","['0', '']","['0', '']","['290,005', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r152,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,,,4,"['334,688', '']","['0', '']","['0', '']","['334,688', '']","['334,688', '']","['0', '']","['0', '']","['334,688', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r153,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Polar,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Polar,,,4,"['343,144', '']","['0', '']","['0', '']","['343,144', '']","['343,144', '']","['0', '']","['0', '']","['343,144', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r154,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),,,4,"['311,140', '']","['0', '']","['0', '']","['311,140', '']","['311,140', '']","['0', '']","['0', '']","['311,140', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r155,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Integration,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Integration,,,4,"['23,796', '']","['0', '']","['0', '']","['23,796', '']","['23,796', '']","['0', '']","['0', '']","['23,796', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r156,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Space Mod Initiative,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Space Mod Initiative,,,4,"['56,529', '']","['0', '']","['0', '']","['56,529', '']","['56,529', '']","['0', '']","['0', '']","['56,529', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r157,All agencies -> Department of Defense -> Space Force -> Polar MILSATCOM Enhanced Polar System Recapitalization,All agencies,Department of Defense,Space Force,Polar MILSATCOM Enhanced Polar System Recapitalization,,,4,"['50,402', '']","['0', '']","['0', '']","['50,402', '']","['50,402', '']","['0', '']","['0', '']","['50,402', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r158,All agencies -> Department of Defense -> Space Force -> Protected Tactical Enterprise Service,All agencies,Department of Defense,Space Force,Protected Tactical Enterprise Service,,,4,"['51,780', '']","['0', '']","['0', '']","['51,780', '']","['51,780', '']","['0', '']","['0', '']","['51,780', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r159,All agencies -> Department of Defense -> Space Force -> Protected Tactical Service,All agencies,Department of Defense,Space Force,Protected Tactical Service,,,4,"['185,948', '']","['0', '']","['0', '']","['185,948', '']","['185,948', '']","['0', '']","['0', '']","['185,948', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r160,All agencies -> Department of Defense -> Space Force -> Rocket System Launch Program,All agencies,Department of Defense,Space Force,Rocket System Launch Program,,,4,"['21,481', '']","['0', '']","['0', '']","['21,481', '']","['21,481', '']","['0', '']","['0', '']","['21,481', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r161,All agencies -> Department of Defense -> Space Force -> Space Control Technology,All agencies,Department of Defense,Space Force,Space Control Technology,,,4,"['31,361', '']","['0', '']","['0', '']","['31,361', '']","['31,361', '']","['0', '']","['0', '']","['31,361', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r162,All agencies -> Department of Defense -> Space Force -> Space Rapid Capabilities Office,All agencies,Department of Defense,Space Force,Space Rapid Capabilities Office,,,4,"['83,186', '']","['83,186', '']","['0', '']","['0', '']","['83,186', '']","['83,186', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r163,All agencies -> Department of Defense -> Space Force -> Space Situation Awareness Systems,All agencies,Department of Defense,Space Force,Space Situation Awareness Systems,,,4,"['100,674', '']","['0', '']","['0', '']","['100,674', '']","['100,674', '']","['0', '']","['0', '']","['100,674', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r164,All agencies -> Department of Defense -> Space Force -> Space Situational Awareness Environmental Monitoring,All agencies,Department of Defense,Space Force,Space Situational Awareness Environmental Monitoring,,,4,"['364', '']","['0', '']","['0', '']","['364', '']","['364', '']","['0', '']","['0', '']","['364', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r165,All agencies -> Department of Defense -> Space Force -> Space Systems Prototype Transitions Assault Breaker II,All agencies,Department of Defense,Space Force,Space Systems Prototype Transitions Assault Breaker II,,,4,"['49,909', '']","['0', '']","['0', '']","['49,909', '']","['49,909', '']","['0', '']","['0', '']","['49,909', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r166,All agencies -> Department of Defense -> Space Force -> Space Test and Training Range Development,All agencies,Department of Defense,Space Force,Space Test and Training Range Development,,,4,"['742', '']","['0', '']","['0', '']","['742', '']","['742', '']","['0', '']","['0', '']","['742', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r167,All agencies -> Department of Defense -> Space Force -> Space Test Program,All agencies,Department of Defense,Space Force,Space Test Program,,,4,"['24,717', '']","['0', '']","['0', '']","['24,717', '']","['14,860', '']","['0', '']","['0', '']","['14,860', '']","['9,857', '']","['0', '']","['0', '']","['9,857', '']"
12491,r168,All agencies -> Department of Defense -> Space Force -> Weather System Follow-On,All agencies,Department of Defense,Space Force,Weather System Follow-On,,,4,"['12,364', '']","['0', '']","['0', '']","['12,364', '']","['12,364', '']","['0', '']","['0', '']","['12,364', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r169,All agencies -> Department of Energy,All agencies,Department of Energy,,,,,2,"['100,005', '']","['4,975', '']","['85,004', '']","['10,026', '']","['99,508', '']","['4,975', '']","['84,582', '']","['9,951', '']","['497', '']","['0', '']","['422', '']","['75', '']"
12491,r170,All agencies -> Department of Energy -> National Energy Technology Laboratory,All agencies,Department of Energy,National Energy Technology Laboratory,,,,3,"['100,005', '']","['4,975', '']","['85,004', '']","['10,026', '']","['99,508', '']","['4,975', '']","['84,582', '']","['9,951', '']","['497', '']","['0', '']","['422', '']","['75', '']"
12491,r171,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,,,,2,"['3,359,936', '']","['1,280,379', '']","['1,831,264', '']","['248,292', '']","['3,321,851', '']","['1,266,372', '']","['1,817,533', '']","['237,946', '']","['38,085', '']","['14,007', '']","['13,731', '']","['10,346', '']"
12491,r172,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,3,"['145,593', '']","['26,256', '']","['111,189', '']","['8,148', '']","['145,152', '']","['25,932', '']","['111,159', '']","['8,060', '']","['441', '']","['323', '']","['30', '']","['88', '']"
12491,r173,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Emerging and Zoonotic Infectious Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Emerging and Zoonotic Infectious Diseases,,,4,"['3,094', '']","['233', '']","['2,613', '']","['248', '']","['3,094', '']","['233', '']","['2,613', '']","['248', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r174,"All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,"National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",,,4,"['28,238', '']","['444', '']","['27,794', '']","['0', '']","['28,238', '']","['444', '']","['27,794', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r175,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Immunization and Respiratory Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Immunization and Respiratory Diseases,,,4,"['44,783', '']","['0', '']","['41,657', '']","['3,126', '']","['44,783', '']","['0', '']","['41,657', '']","['3,126', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r176,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center on Birth Defects and Developmental Disabilities,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center on Birth Defects and Developmental Disabilities,,,4,"['243', '']","['243', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['243', '']","['243', '']","['0', '']","['0', '']"
12491,r177,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Institute for Occupational Safety and Health,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Institute for Occupational Safety and Health,,,4,"['69,235', '']","['25,335', '']","['39,125', '']","['4,774', '']","['69,037', '']","['25,255', '']","['39,096', '']","['4,687', '']","['198', '']","['80', '']","['30', '']","['88', '']"
12491,r178,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,,,,3,"['458,410', '']","['0', '']","['434,645', '']","['23,765', '']","['458,397', '']","['0', '']","['434,632', '']","['23,765', '']","['13', '']","['0', '']","['13', '']","['0', '']"
12491,r179,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Biologics Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Biologics Evaluation and Research,,,4,"['66,565', '']","['0', '']","['66,565', '']","['0', '']","['66,565', '']","['0', '']","['66,565', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r180,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Devices and Radiological Health,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Devices and Radiological Health,,,4,"['7,913', '']","['0', '']","['7,913', '']","['0', '']","['7,900', '']","['0', '']","['7,900', '']","['0', '']","['13', '']","['0', '']","['13', '']","['0', '']"
12491,r181,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Drug Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Drug Evaluation and Research,,,4,"['73,608', '']","['0', '']","['73,608', '']","['0', '']","['73,608', '']","['0', '']","['73,608', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r182,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Food Safety and Applied Nutrition,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Food Safety and Applied Nutrition,,,4,"['95,059', '']","['0', '']","['71,294', '']","['23,765', '']","['95,059', '']","['0', '']","['71,294', '']","['23,765', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r183,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Tobacco Products,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Tobacco Products,,,4,"['93,521', '']","['0', '']","['93,521', '']","['0', '']","['93,521', '']","['0', '']","['93,521', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r184,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Veterinary Medicine,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Veterinary Medicine,,,4,"['20,184', '']","['0', '']","['20,184', '']","['0', '']","['20,184', '']","['0', '']","['20,184', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r185,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> National Center for Toxicological Research,All agencies,Department of Health and Human Services,Food and Drug Administration,National Center for Toxicological Research,,,4,"['88,645', '']","['0', '']","['88,645', '']","['0', '']","['88,645', '']","['0', '']","['88,645', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r186,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Office of Regulatory Affairs,All agencies,Department of Health and Human Services,Food and Drug Administration,Office of Regulatory Affairs,,,4,"['3,000', '']","['0', '']","['3,000', '']","['0', '']","['3,000', '']","['0', '']","['3,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r187,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Oncology Center of Excellence,All agencies,Department of Health and Human Services,Food and Drug Administration,Oncology Center of Excellence,,,4,"['9,915', '']","['0', '']","['9,915', '']","['0', '']","['9,915', '']","['0', '']","['9,915', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r188,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,,,,3,"['2,755,933', '']","['1,254,123', '']","['1,285,430', '']","['216,379', '']","['2,718,302', '']","['1,240,440', '']","['1,271,741', '']","['206,121', '']","['37,631', '']","['13,684', '']","['13,689', '']","['10,258', '']"
12491,r189,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Clinical Center,All agencies,Department of Health and Human Services,National Institutes of Health,Clinical Center,,,4,"['618,605', '']","['0', '']","['618,605', '']","['0', '']","['617,933', '']","['0', '']","['617,933', '']","['0', '']","['672', '']","['0', '']","['672', '']","['0', '']"
12491,r190,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Eunice Kennedy Shriver National Institute of Child Health and Human Development,All agencies,Department of Health and Human Services,National Institutes of Health,Eunice Kennedy Shriver National Institute of Child Health and Human Development,,,4,"['221,061', '']","['89,354', '']","['131,706', '']","['0', '']","['219,874', '']","['88,874', '']","['130,999', '']","['0', '']","['1,187', '']","['480', '']","['707', '']","['0', '']"
12491,r191,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Cancer Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Cancer Institute,,,4,"['104,607', '']","['68,300', '']","['5,605', '']","['30,702', '']","['103,604', '']","['68,300', '']","['4,602', '']","['30,702', '']","['1,003', '']","['0', '']","['1,003', '']","['0', '']"
12491,r192,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Advancing Translational Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Advancing Translational Sciences,,,4,"['150,884', '']","['0', '']","['150,884', '']","['0', '']","['149,644', '']","['0', '']","['149,644', '']","['0', '']","['1,241', '']","['0', '']","['1,241', '']","['0', '']"
12491,r193,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Complementary and Integrative Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Complementary and Integrative Health,,,4,"['15,500', '']","['4,727', '']","['10,773', '']","['0', '']","['15,440', '']","['4,667', '']","['10,773', '']","['0', '']","['60', '']","['60', '']","['0', '']","['0', '']"
12491,r194,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Eye Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Eye Institute,,,4,"['105,189', '']","['104,291', '']","['0', '']","['898', '']","['99,753', '']","['99,753', '']","['0', '']","['0', '']","['5,435', '']","['4,537', '']","['0', '']","['898', '']"
12491,r195,"All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Heart, Lung, and Blood Institute",All agencies,Department of Health and Human Services,National Institutes of Health,"National Heart, Lung, and Blood Institute",,,4,"['173,071', '']","['173,071', '']","['0', '']","['0', '']","['173,071', '']","['173,071', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r196,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Human Genome Research Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Human Genome Research Institute,,,4,"['133,478', '']","['93,435', '']","['40,043', '']","['0', '']","['130,460', '']","['91,322', '']","['39,138', '']","['0', '']","['3,018', '']","['2,113', '']","['906', '']","['0', '']"
12491,r197,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Allergy and Infectious Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Allergy and Infectious Diseases,,,4,"['425,092', '']","['189,271', '']","['117,032', '']","['118,789', '']","['403,809', '']","['185,832', '']","['108,451', '']","['109,526', '']","['21,283', '']","['3,439', '']","['8,581', '']","['9,263', '']"
12491,r198,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,,4,"['57,611', '']","['1,070', '']","['56,541', '']","['0', '']","['57,611', '']","['1,070', '']","['56,541', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r199,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Biomedical Imaging and Bioengineering,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering,,,4,"['5,900', '']","['0', '']","['3,200', '']","['2,700', '']","['5,900', '']","['0', '']","['3,200', '']","['2,700', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r200,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Dental and Craniofacial Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Dental and Craniofacial Research,,,4,"['70,666', '']","['40,893', '']","['29,773', '']","['0', '']","['70,666', '']","['40,893', '']","['29,773', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r201,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Diabetes and Digestive and Kidney Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Diabetes and Digestive and Kidney Diseases,,,4,"['142,684', '']","['111,941', '']","['26,363', '']","['4,380', '']","['142,133', '']","['111,459', '']","['26,320', '']","['4,354', '']","['551', '']","['482', '']","['43', '']","['26', '']"
12491,r202,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Environmental Health Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Environmental Health Sciences,,,4,"['124,012', '']","['92,719', '']","['31,294', '']","['0', '']","['123,813', '']","['92,519', '']","['31,294', '']","['0', '']","['199', '']","['199', '']","['0', '']","['0', '']"
12491,r203,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Mental Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Mental Health,,,4,"['1,128', '']","['0', '']","['0', '']","['1,128', '']","['1,128', '']","['0', '']","['0', '']","['1,128', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r204,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Neurological Disorders and Stroke,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Neurological Disorders and Stroke,,,4,"['217,704', '']","['135,557', '']","['30,050', '']","['52,097', '']","['215,738', '']","['134,020', '']","['29,620', '']","['52,097', '']","['1,966', '']","['1,536', '']","['430', '']","['0', '']"
12491,r205,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Nursing Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Nursing Research,,,4,"['3,923', '']","['58', '']","['3,771', '']","['94', '']","['3,923', '']","['58', '']","['3,771', '']","['94', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r206,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Aging,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Aging,,,4,"['4,299', '']","['0', '']","['4,299', '']","['0', '']","['4,299', '']","['0', '']","['4,299', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r207,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Alcohol Abuse and Alcoholism,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Alcohol Abuse and Alcoholism,,,4,"['48,509', '']","['34,981', '']","['13,528', '']","['0', '']","['48,384', '']","['34,856', '']","['13,528', '']","['0', '']","['125', '']","['125', '']","['0', '']","['0', '']"
12491,r208,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Deafness and Other Communication Disorders,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Deafness and Other Communication Disorders,,,4,"['29,974', '']","['19,826', '']","['6,570', '']","['3,579', '']","['29,701', '']","['19,731', '']","['6,462', '']","['3,507', '']","['273', '']","['94', '']","['107', '']","['71', '']"
12491,r209,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Drug Abuse,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Drug Abuse,,,4,"['66,351', '']","['66,351', '']","['0', '']","['0', '']","['65,733', '']","['65,733', '']","['0', '']","['0', '']","['618', '']","['618', '']","['0', '']","['0', '']"
12491,r210,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Minority Health and Health Disparities,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Minority Health and Health Disparities,,,4,"['9,919', '']","['2,764', '']","['5,393', '']","['1,762', '']","['9,919', '']","['2,764', '']","['5,393', '']","['1,762', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r211,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Library of Medicine,All agencies,Department of Health and Human Services,National Institutes of Health,National Library of Medicine,,,4,"['25,766', '']","['25,516', '']","['0', '']","['250', '']","['25,766', '']","['25,516', '']","['0', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r212,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,,,,2,"['39,016', ' ']","['20,300', ' ']","['8,216', ' ']","['10,500', ' ']","['39,016', ' ']","['20,300', ' ']","['8,216', ' ']","['10,500', ' ']","['0', ' ']","['0', ' ']","['0', ' ']","['0', ' ']"
12491,r213,All agencies -> Department of Homeland Security -> Coast Guard,All agencies,Department of Homeland Security,Coast Guard,,,,3,"['17,500', '']","['0', '']","['7,000', '']","['10,500', '']","['17,500', '']","['0', '']","['7,000', '']","['10,500', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r214,"All agencies -> Department of Homeland Security -> Coast Guard -> Acquisition Directorate, Research and Development Center",All agencies,Department of Homeland Security,Coast Guard,"Acquisition Directorate, Research and Development Center",,,4,"['17,500', '']","['0', '']","['7,000', '']","['10,500', '']","['17,500', '']","['0', '']","['7,000', '']","['10,500', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r215,All agencies -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,,,3,"['1,216', 'i']","['0', 'i']","['1,216', 'i']","['0', 'i']","['1,216', 'i']","['0', 'i']","['1,216', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r216,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,,,,3,"['20,300', '']","['20,300', '']","['0', '']","['0', '']","['20,300', '']","['20,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r217,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,,,4,"['20,300', '']","['20,300', '']","['0', '']","['0', '']","['20,300', '']","['20,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
